Conference,Division,School,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
Sun Belt,,Arkansas State,3,5,168,196,4,8,272,279,3,2,1,6,-,0,2,0,2,2009
Sun Belt,,Florida Intl,3,5,212,258,3,9,275,424,2,3,1,6,-,0,2,0,2,2009
Sun Belt,,North Texas,1,7,249,316,2,10,319,427,1,5,1,5,-,0,1,0,1,2009
Sun Belt,,Western Kentucky,0,8,196,311,0,12,245,475,0,6,0,6,-,0,0,0,0,2009
Western Athletic,,Boise State,8,0,396,171,14,0,591,240,7,0,7,0,W14,2,0,2,0,2009
Western Athletic,,Nevada,7,1,383,197,8,5,497,371,5,1,3,4,L2,0,1,0,1,2009
Western Athletic,,Fresno State,6,2,257,220,8,5,440,369,4,1,4,4,L1,0,3,0,3,2009
Western Athletic,,Idaho,4,4,260,304,8,5,425,468,5,2,3,3,W1,0,1,0,1,2009
Western Athletic,,Hawai'i,3,5,166,241,6,7,296,383,4,3,2,4,-,0,2,0,2,2009
Western Athletic,,Louisiana Tech,3,5,259,203,4,8,350,309,4,1,0,7,-,0,2,0,2,2009
Western Athletic,,Utah State,3,5,232,266,4,8,349,408,3,2,1,6,-,0,3,0,3,2009
Western Athletic,,New Mexico State,1,7,79,259,3,10,149,411,2,4,1,6,-,0,2,0,2,2009
Western Athletic,,San Jose State,1,7,112,283,2,10,165,414,2,4,0,6,-,0,3,0,3,2009
Atlantic Coast,Atlantic,Boston College,5,3,206,204,9,5,346,257,5,2,4,3,L2,2,2,2,2,2008
Atlantic Coast,Atlantic,Florida State,5,3,223,176,9,4,434,262,6,3,3,1,W1,1,2,1,2,2008
Atlantic Coast,Atlantic,Maryland,4,4,127,175,8,5,283,292,6,1,2,4,W1,0,2,1,2,2008
Atlantic Coast,Atlantic,Wake Forest,4,4,133,144,8,5,273,238,5,2,3,3,W2,2,0,2,0,2008
Atlantic Coast,Atlantic,Clemson,4,4,166,134,7,6,327,225,5,4,2,2,L1,0,3,0,3,2008
Atlantic Coast,Atlantic,NC State,4,4,208,190,6,7,305,342,4,3,2,4,L1,0,1,0,1,2008
Atlantic Coast,Coastal,Virginia Tech,5,3,151,138,10,4,309,234,8,0,2,4,W4,2,1,2,1,2008
Atlantic Coast,Coastal,Georgia Tech,5,3,180,156,9,4,317,264,6,2,3,2,L1,2,1,2,1,2008
Atlantic Coast,Coastal,North Carolina,4,4,184,169,8,5,360,275,5,3,3,2,L1,1,2,1,1,2008
Atlantic Coast,Coastal,Miami,4,4,219,220,7,6,352,314,4,2,3,4,L3,1,3,1,4,2008
Atlantic Coast,Coastal,Virginia,3,5,125,143,5,7,193,260,4,3,1,4,-,1,2,1,2,2008
Atlantic Coast,Coastal,Duke,1,7,139,212,4,8,241,281,3,4,1,4,-,0,2,0,2,2008
Big 12,North,Missouri,5,3,325,213,10,4,591,381,6,2,4,2,W1,0,3,0,3,2008
Big 12,North,Nebraska,5,3,284,272,9,4,460,371,6,2,3,2,W4,0,4,0,4,2008
Big 12,North,Kansas,4,4,251,293,8,5,434,375,5,2,3,3,W2,1,3,1,3,2008
Big 12,North,Colorado,2,6,135,257,5,7,242,351,5,2,0,5,-,1,4,0,4,2008
Big 12,North,Kansas State,2,6,231,339,5,7,419,430,4,3,1,4,-,0,3,0,3,2008
Big 12,North,Iowa State,0,8,176,334,2,10,304,430,2,4,0,6,-,0,3,0,3,2008
Big 12,South,Oklahoma,7,1,441,246,12,2,716,343,7,2,5,0,L1,5,2,5,2,2008
Big 12,South,Texas,7,1,329,180,12,1,551,244,8,0,4,1,W4,4,1,4,1,2008
Big 12,South,Texas Tech,7,1,352,251,11,2,569,362,7,1,4,1,L1,2,2,2,2,2008
Big 12,South,Oklahoma State,5,3,292,236,9,4,530,365,6,1,3,3,L2,1,4,1,4,2008
Big 12,South,Baylor,2,6,199,257,4,8,336,352,4,3,0,5,-,0,5,0,5,2008
Big 12,South,Texas A&M;,2,6,214,351,4,8,300,449,2,5,2,3,-,0,4,0,4,2008
Big East,,Cincinnati,6,1,165,134,11,3,362,282,6,0,5,3,L1,1,2,0,2,2008
Big East,,Pittsburgh,5,2,209,159,9,4,352,279,4,3,5,1,L1,2,2,1,2,2008
Big East,,West Virginia,5,2,162,109,9,4,319,221,6,1,3,3,W2,0,1,0,1,2008
Big East,,Rutgers,5,2,240,128,8,5,377,245,6,2,2,3,W7,0,2,0,1,2008
Big East,,Connecticut,3,4,151,149,8,5,324,257,5,2,3,3,W1,1,1,1,0,2008
Big East,,South Florida,2,5,136,162,8,5,359,260,5,2,3,3,W1,0,2,0,1,2008
Big East,,Louisville,1,6,128,241,5,7,296,358,4,4,1,3,-,0,2,0,1,2008
Big East,,Syracuse,1,6,112,221,3,9,217,392,2,4,1,5,-,0,3,0,2,2008
Big Ten,,Penn State,7,1,271,109,11,2,506,187,7,0,4,2,L1,3,2,3,2,2008
Big Ten,,Ohio State,7,1,238,98,10,3,359,181,6,1,4,2,L1,1,3,1,3,2008
Big Ten,,Michigan State,6,2,201,208,9,4,326,287,6,2,3,2,L2,1,3,1,4,2008
Big Ten,,Iowa,5,3,238,130,9,4,394,169,7,1,2,3,W4,1,1,1,1,2008
Big Ten,,Northwestern,5,3,191,187,9,4,317,262,5,3,4,1,L1,1,3,1,3,2008
Big Ten,,Minnesota,3,5,136,210,7,6,302,322,4,4,3,2,L5,0,2,0,2,2008
Big Ten,,Wisconsin,3,5,206,227,7,6,357,345,5,2,2,4,L1,0,5,0,5,2008
Big Ten,,Illinois,3,5,218,206,5,7,344,319,4,2,1,5,-,1,3,1,3,2008
Big Ten,,Purdue,2,6,175,196,4,8,296,301,4,3,0,5,-,0,5,0,5,2008
Big Ten,,Michigan,2,6,177,268,3,9,243,347,2,5,1,4,-,0,4,0,4,2008
Big Ten,,Indiana,1,7,116,328,3,9,246,423,3,5,0,4,-,0,3,0,3,2008
Conference USA,East,East Carolina,6,2,187,156,9,5,328,295,5,2,4,3,L1,2,0,1,0,2008
Conference USA,East,Southern Mississippi,4,4,270,190,7,6,398,313,3,3,4,3,W5,0,1,0,1,2008
Conference USA,East,Memphis,4,4,227,209,6,7,353,353,4,3,2,4,L1,0,1,0,1,2008
Conference USA,East,Marshall,3,5,184,211,4,8,246,332,3,3,1,5,-,0,2,0,1,2008
Conference USA,East,UAB,3,5,178,255,4,8,273,375,2,3,2,5,-,0,0,0,0,2008
Conference USA,East,UCF,3,5,137,204,4,8,199,289,2,4,2,4,-,0,0,0,0,2008
Conference USA,West,Tulsa,7,1,395,247,11,3,661,391,7,1,4,2,W1,0,0,0,0,2008
Conference USA,West,Rice,7,1,353,278,10,3,537,433,7,0,3,3,W7,0,1,0,1,2008
Conference USA,West,Houston,6,2,349,256,8,5,528,402,5,1,3,4,W1,0,1,0,1,2008
Conference USA,West,UTEP,4,4,295,302,5,7,395,444,3,3,2,4,-,0,1,0,1,2008
Conference USA,West,Tulane,1,7,147,305,2,10,200,414,2,4,0,6,-,0,1,0,1,2008
Conference USA,West,SMU,0,8,188,297,1,11,256,458,1,5,0,6,-,0,2,0,2,2008
FBS Independents,,Navy,,-,--,--,8,5,353,286,4,3,4,2,L1,0,0,0,0,2008
FBS Independents,,Notre Dame,,-,--,--,7,6,321,288,5,2,2,4,W1,0,2,0,2,2008
FBS Independents,,Army,,-,--,--,3,9,177,284,2,5,1,4,-,0,0,0,0,2008
