Team,Team Code,Year,Date,Time,LTime,Loc,Opponent,Team Code opp,Week,G,Day,Result,OT,Points For,Points Against,Points Difference,Points Combined,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Sk,Yds,Pass Rate,Rush Att,Rush Yard,Rush Avg,Rush TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Pass Int opp,Sk opp,Yds opp,Pass Rate opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp
CLE,31,1995,1995-09-24,4:00,4:00,,KAN,12,4,4,Sun,W 35-17,,35,17,18,52,22,37,59.5,221,2,0,1,8,94.5,32,124,3.88,1,29,49,59.2,263,2,2,1,9,70.4,16,59,3.69,0
ARI,7,1995,1995-09-24,4:00,3:00,@,DAL,8,4,4,Sun,L 20-34,,20,34,-14,54,25,34,73.5,329,2,3,3,28,86.5,17,52,3.06,0,19,30,63.3,251,1,0,0,0,100.8,36,189,5.25,3
DAL,8,1995,1995-09-24,4:00,3:00,,ARI,7,4,4,Sun,W 34-20,,34,20,14,54,19,30,63.3,251,1,0,0,0,100.8,36,189,5.25,3,25,34,73.5,329,2,3,3,28,86.5,17,52,3.06,0
DEN,9,1995,1995-09-24,4:00,1:00,@,LAC,23,4,4,Sun,L 6-17,,6,17,-11,23,19,34,55.9,181,0,0,1,5,70.8,15,65,4.33,0,18,32,56.3,176,0,1,2,13,58.9,39,158,4.05,2
GNB,11,1995,1995-09-24,8:00,8:00,@,JAX,30,4,4,Sun,W 24-14,,24,14,10,38,20,30,66.7,193,2,1,2,9,92.8,29,129,4.45,1,16,29,55.2,125,2,0,5,31,89.0,23,76,3.3,0
JAX,30,1995,1995-09-24,8:00,8:00,,GNB,11,4,4,Sun,L 14-24,,14,24,-10,38,16,29,55.2,125,2,0,5,31,89.0,23,76,3.3,0,20,30,66.7,193,2,1,2,9,92.8,29,129,4.45,1
KAN,12,1995,1995-09-24,4:00,4:00,@,CLE,31,4,4,Sun,L 17-35,,17,35,-18,52,29,49,59.2,263,2,2,1,9,70.4,16,59,3.69,0,22,37,59.5,221,2,0,1,8,94.5,32,124,3.88,1
MIN,14,1995,1995-09-24,1:00,1:00,@,PIT,21,4,4,Sun,W 44-24,,44,24,20,68,18,31,58.1,244,2,2,1,5,77.9,30,134,4.47,1,29,49,59.2,335,1,6,2,3,47.1,25,70,2.8,2
NOR,15,1995,1995-09-24,1:00,1:00,@,NYG,17,4,4,Sun,L 29-45,,29,45,-16,74,19,32,59.4,235,3,2,2,21,87.4,18,87,4.83,1,19,27,70.4,256,1,1,1,2,97.1,48,218,4.54,5
NYG,17,1995,1995-09-24,1:00,1:00,,NOR,15,4,4,Sun,W 45-29,,45,29,16,74,19,27,70.4,256,1,1,1,2,97.1,48,218,4.54,5,19,32,59.4,235,3,2,2,21,87.4,18,87,4.83,1
NYJ,18,1995,1995-09-24,4:00,4:00,@,ATL,1,4,4,Sun,L 3-13,,3,13,-10,16,20,37,54.1,176,0,3,2,14,33.2,21,94,4.48,0,22,35,62.9,200,1,1,3,24,75.9,28,148,5.29,0
HOU,19,1995,1995-09-24,4:00,4:00,@,CIN,4,4,4,Sun,W 38-28,,38,28,10,66,23,26,88.5,350,4,0,1,2,158.3,36,137,3.81,1,24,46,52.2,347,3,0,1,9,98.7,15,60,4.0,1
PHI,20,1995,1995-09-24,4:00,1:00,@,OAK,27,4,4,Sun,L 17-48,,17,48,-31,65,17,34,50.0,129,0,2,7,43,35.0,22,107,4.86,1,25,36,69.4,331,2,2,2,20,93.6,32,108,3.38,2
PIT,21,1995,1995-09-24,1:00,1:00,,MIN,14,4,4,Sun,L 24-44,,24,44,-20,68,29,49,59.2,335,1,6,2,3,47.1,25,70,2.8,2,18,31,58.1,244,2,2,1,5,77.9,30,134,4.47,1
OAK,27,1995,1995-09-24,4:00,1:00,,PHI,20,4,4,Sun,W 48-17,,48,17,31,65,25,36,69.4,331,2,2,2,20,93.6,32,108,3.38,2,17,34,50.0,129,0,2,7,43,35.0,22,107,4.86,1
