School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Pass Int,Turnovers
Northwestern,2001-11-10,9,,Iowa,L,20,34,58.8,136,2,31,120,3.9,0,1,2,3
Ohio,2001-11-10,9,,Bowling Green State,L,3,11,27.3,35,0,33,105,3.2,0,1,2,3
Ohio State,2001-11-10,9,,Purdue,W,14,20,70.0,263,3,49,166,3.4,1,4,0,4
Oklahoma,2001-11-10,10,,Texas A&M,W,25,38,65.8,195,2,43,157,3.7,2,0,1,1
Oklahoma State,2001-11-10,9,,Texas Tech,L,26,41,63.4,252,3,32,93,2.9,1,1,1,2
Oregon,2001-11-10,10,@,UCLA,W,13,23,56.5,195,1,33,161,4.9,2,0,0,0
Oregon State,2001-11-10,9,,Washington,W,18,28,64.3,317,2,57,180,3.2,5,3,0,3
Penn State,2001-11-10,8,@,Illinois,L,11,33,33.3,148,1,34,114,3.4,1,0,4,4
Pitt,2001-11-10,9,@,Rutgers,W,19,29,65.5,330,4,38,154,4.1,2,0,0,0
Purdue,2001-11-10,8,@,Ohio State,L,12,27,44.4,140,0,32,71,2.2,1,0,3,3
Rice,2001-11-10,10,,Tulsa,W,5,8,62.5,155,3,62,498,8.0,5,0,1,1
Rutgers,2001-11-10,9,,Pittsburgh,L,11,24,45.8,64,0,34,48,1.4,0,2,0,2
San Diego State,2001-11-10,10,@,Utah,L,15,29,51.7,194,0,31,64,2.1,0,0,1,1
San Jose State,2001-11-10,9,,Nevada,W,23,28,82.1,534,6,55,315,5.7,3,0,0,0
SMU,2001-11-10,8,,Fresno State,L,15,29,51.7,104,0,42,96,2.3,0,2,2,4
South Carolina,2001-11-10,10,,Florida,L,7,17,41.2,57,1,43,207,4.8,1,0,2,2
South Florida,2001-11-10,10,,Western Illinois,W,20,33,60.6,277,2,45,232,5.2,5,2,0,2
Stanford,2001-11-10,8,@,Arizona,W,13,23,56.5,169,3,55,276,5.0,1,1,0,1
Syracuse,2001-11-10,10,,West Virginia,W,10,18,55.6,86,0,51,126,2.5,3,0,0,0
Temple,2001-11-10,9,,Virginia Tech,L,14,45,31.1,177,0,27,60,2.2,0,2,4,6
Tennessee,2001-11-10,8,,Memphis,W,24,39,61.5,302,5,43,218,5.1,1,0,1,1
Texas,2001-11-10,10,,Kansas,W,18,28,64.3,330,3,51,276,5.4,4,0,1,1
Texas A&M,2001-11-10,10,@,Oklahoma,L,11,23,47.8,58,0,27,74,2.7,0,0,0,0
Texas Christian,2001-11-10,9,@,Alabama-Birmingham,L,22,36,61.1,310,2,34,20,0.6,0,2,1,3
Texas Tech,2001-11-10,9,@,Oklahoma State,W,44,56,78.6,440,4,26,106,4.1,2,0,0,0
Troy,2001-11-10,9,@,Louisiana-Monroe,W,23,33,69.7,307,3,56,218,3.9,2,1,0,1
Tulane,2001-11-10,11,@,Navy,W,36,49,73.5,442,3,27,137,5.1,2,2,1,3
Tulsa,2001-11-10,9,@,Rice,L,23,45,51.1,245,2,39,261,6.7,3,1,0,1
UAB,2001-11-10,9,,Texas Christian,W,9,18,50.0,223,2,43,104,2.4,2,0,1,1
UCF,2001-11-10,10,@,Arkansas,L,22,44,50.0,304,1,25,65,2.6,1,1,1,2
UCLA,2001-11-10,9,,Oregon,L,14,22,63.6,321,0,49,120,2.4,2,0,2,2
UNLV,2001-11-10,10,@,New Mexico,L,12,28,42.9,159,1,42,107,2.5,1,1,1,2
USC,2001-11-10,10,@,California,W,19,37,51.4,235,1,47,213,4.5,4,2,0,2
Utah,2001-11-10,9,,San Diego State,W,10,20,50.0,138,1,45,225,5.0,1,0,0,0
Utah State,2001-11-10,8,@,Connecticut,W,20,31,64.5,234,3,39,113,2.9,1,1,0,1
UTEP,2001-11-10,9,,Louisiana Tech,L,19,31,61.3,238,0,38,189,5.0,4,2,2,4
Vanderbilt,2001-11-10,9,,Kentucky,L,30,48,62.5,440,2,35,102,2.9,2,2,1,3
Virginia,2001-11-10,10,,Georgia Tech,W,32,46,69.6,327,5,25,134,5.4,0,1,1,2
Virginia Tech,2001-11-10,9,@,Temple,W,11,18,61.1,134,2,44,225,5.1,3,0,1,1
Wake Forest,2001-11-10,9,@,North Carolina,W,14,24,58.3,142,0,58,212,3.7,4,0,1,1
Washington,2001-11-10,9,@,Oregon State,L,17,41,41.5,193,1,30,88,2.9,2,1,1,2
Washington State,2001-11-10,10,@,Arizona State,W,14,29,48.3,289,3,37,97,2.6,0,1,2,3
West Virginia,2001-11-10,9,@,Syracuse,L,25,48,52.1,162,0,39,166,4.3,1,2,2,4
Wyoming,2001-11-10,9,,Brigham Young,L,24,52,46.2,358,1,37,118,3.2,3,0,1,1
East Carolina,2001-11-15,10,,Louisville,L,21,34,61.8,284,1,37,167,4.5,4,1,2,3
Louisville,2001-11-15,11,@,East Carolina,W,22,34,64.7,292,3,44,138,3.1,1,0,1,1
Air Force,2001-11-17,10,,Nevada-Las Vegas,L,13,29,44.8,77,0,61,259,4.2,1,1,3,4
Akron,2001-11-17,10,@,Buffalo,W,13,21,61.9,155,1,54,217,4.0,2,0,0,0
Alabama,2001-11-17,10,@,Auburn,W,22,30,73.3,221,2,44,328,7.5,2,0,0,0
Arkansas,2001-11-17,10,,Mississippi State,W,10,19,52.6,134,0,58,329,5.7,3,1,1,2
Arkansas State,2001-11-17,10,,Louisiana-Monroe,L,16,34,47.1,142,0,38,106,2.8,1,1,2,3
Army,2001-11-17,10,@,Memphis,L,16,35,45.7,154,0,45,167,3.7,1,1,3,4
Auburn,2001-11-17,10,,Alabama,L,16,24,66.7,231,0,28,41,1.5,1,1,0,1
Ball State,2001-11-17,10,@,Northern Illinois,L,25,44,56.8,274,1,42,173,4.1,2,0,3,3
Baylor,2001-11-17,10,,Oklahoma State,L,27,43,62.8,315,2,50,202,4.0,1,0,4,4
Boise State,2001-11-17,11,,San Jose State,W,19,32,59.4,351,4,44,204,4.6,3,1,1,2
Boston College,2001-11-17,10,@,Rutgers,W,14,29,48.3,176,3,56,362,6.5,2,1,2,3
Bowling Green State,2001-11-17,10,@,Northwestern,W,36,53,67.9,472,4,33,146,4.4,2,1,0,1
Brigham Young,2001-11-17,11,,Utah,W,21,42,50.0,270,2,32,180,5.6,1,1,1,2
Buffalo,2001-11-17,11,,Akron,L,14,31,45.2,140,1,34,153,4.5,1,0,3,3
