School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Northwestern,2016-11-05,9,,Wisconsin,L,1,7,-14,13,22,59.1,143,0,57,190,3.3,2,0,0,0
Notre Dame,2016-11-05,9,N,Navy,L,3,27,-1,5,8,62.5,48,0,56,320,5.7,4,0,0,0
Ohio State,2016-11-05,9,,Nebraska,W,8,62,59,9,33,27.3,126,0,24,78,3.3,0,0,2,2
Oklahoma State,2016-11-05,9,@,Kansas State,W,6,43,6,12,18,66.7,87,0,56,345,6.2,4,0,1,1
Old Dominion,2016-11-05,9,,Marshall,W,5,38,24,20,29,69.0,138,2,20,76,3.8,0,0,0,0
Ole Miss,2016-11-05,9,,Georgia Southern,W,4,37,10,7,17,41.2,134,1,59,267,4.5,2,0,1,1
Oregon,2016-11-05,9,@,Southern California,L,3,20,-25,28,41,68.3,309,2,40,270,6.8,4,0,1,1
Oregon State,2016-11-05,9,@,Stanford,L,2,15,-11,10,17,58.8,60,0,58,365,6.3,2,1,0,1
Penn State,2016-11-05,9,,Iowa,W,5,41,27,18,26,69.2,204,2,26,30,1.2,0,0,1,1
Pitt,2016-11-05,9,@,Miami (FL),L,4,28,-23,32,47,68.1,356,4,36,178,4.9,2,0,0,0
Purdue,2016-11-05,9,@,Minnesota,L,4,31,-13,14,23,60.9,231,0,43,235,5.5,5,0,1,1
Rice,2016-11-05,9,,Florida Atlantic,L,3,25,-17,16,26,61.5,321,2,40,340,8.5,4,0,0,0
Rutgers,2016-11-05,9,,Indiana,L,3,27,-6,29,41,70.7,420,3,44,147,3.3,2,2,2,4
San Diego State,2016-11-05,9,,Hawaii,W,7,55,55,25,45,55.6,167,0,27,48,1.8,0,0,4,4
SMU,2016-11-05,9,,Memphis,L,1,7,-44,24,33,72.7,314,4,39,160,4.1,1,0,0,0
South Alabama,2016-11-05,9,@,Louisiana-Monroe,L,5,35,-7,26,39,66.7,279,3,46,181,3.9,3,0,1,1
South Carolina,2016-11-05,9,,Missouri,W,4,31,10,23,40,57.5,302,1,36,163,4.5,2,1,2,3
Southern Mississippi,2016-11-05,9,,Charlotte,L,4,27,-11,12,25,48.0,136,1,46,303,6.6,3,0,0,0
Stanford,2016-11-05,9,,Oregon State,W,2,26,11,10,24,41.7,137,1,22,129,5.9,1,0,2,2
Syracuse,2016-11-05,9,@,Clemson,L,0,0,-54,27,40,67.5,370,4,44,195,4.4,2,0,0,0
Tennessee,2016-11-05,9,,Tennessee Tech,W,7,55,55,17,36,47.2,164,0,38,60,1.6,0,0,1,1
Texas,2016-11-05,9,@,Texas Tech,W,6,45,8,36,59,61.0,367,3,41,115,2.8,1,1,1,2
Texas A&M,2016-11-05,9,@,Mississippi State,L,4,28,-7,18,31,58.1,209,2,58,365,6.3,3,0,2,2
Texas Christian,2016-11-05,9,@,Baylor,W,8,62,40,22,43,51.2,282,1,45,133,3.0,2,0,1,1
Texas State,2016-11-05,8,@,Appalachian State,L,1,10,-25,15,22,68.2,136,4,38,303,8.0,1,0,0,0
Texas Tech,2016-11-05,9,,Texas,L,5,37,-8,20,40,50.0,244,2,50,414,8.3,4,2,0,2
