"Player","unique_id","position","Date","G","School","Team Code","Loc","Opponent","Team Code opp","WL","Pass Comp","Pass Att","Pass Pct","Pass Yard","Pass TD","Pass Int","QBR","Rush Att","Rush Yard","Rush Avg","Rush TD","Rec","Rec Yards","Rec Avg","Rec TD","Tackle Solo","Tackle Assist","Tackle Tot","Tackle for Loss","Sack","Int Ret","Int Ret Yds","Int TD","Pass Broken Up","FR","FR Yds","FR TD","Fumble Forced","XP Made","XP Att","XP %","FG Made","FG Att","FG %","Pts","Kick Ret","Kick Ret Yds","Kick Ret Avg","Kick Ret TD","Punt Ret","Punt Ret Yds","Punt Ret Avg","Punt Ret TD"
"Khary Sharpe","khary-sharpe-1","[]","2003-09-27",5,"Duke",15,,"Florida St.",16,"L",,,,,,,,,,,,1,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malfred Shaw","malfred-shaw-1","[]","2003-09-27",5,"Idaho",133,"@","Montana",135,"L",,,,,,,,5,21,4.2,0,1,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allynson Sheffield","allynson-sheffield-1","[]","2003-09-27",3,"South Florida",9,"@","Army",65,"W",,,,,,,,,,,,4,26,6.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dan Sheldon","dan-sheldon-1","[]","2003-09-27",4,"Northern Illinois",79,,"Iowa St.",42,"W",,,,,,,,2,4,2,0,2,50,25,1,,,,,,,,,,,,,,,,,,,,,,,,,1,10,10,0
"Matt Shelton","matt-shelton-1","['WR']","2003-09-27",4,"Notre Dame",70,"@","Purdue",38,"L",,,,,,,,,,,,1,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chris Shreve","chris-shreve-1","[]","2003-09-27",4,"Virginia Tech",25,,"Connecticut",3,"W",,,,,,,,,,,,2,20,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mark Simmons","mark-simmons-1","['WR']","2003-09-27",5,"Kansas",43,,"Missouri",115,"W",,,,,,,,,,,,4,47,11.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glen Sins","glen-sins-1","[]","2003-09-27",5,"UL Monroe",130,"@","Utah St.",93,"L",,,,,,,,,,,,1,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O.J. Small","o-j-small-1","[]","2003-09-27",5,"Florida",110,"@","Kentucky",112,"W",,,,,,,,,,,,2,14,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alex Smith","alex-smith-2","[]","2003-09-27",3,"Stanford",101,"@","Washington",105,"L",,,,,,,,,,,,3,34,11.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antwan Smith","antwan-smith-1","[]","2003-09-27",5,"Kent State",77,,"Central Florida",1,"W",,,,,,,,,,,,1,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brandon Smith","brandon-smith-5","[]","2003-09-27",5,"Vanderbilt",120,,"Georgia Tech",17,"L",,,,,,,,,,,,6,91,15.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Floyd Smith","floyd-smith-1","[]","2003-09-27",5,"UL Monroe",130,"@","Utah St.",93,"L",,,,,,,,1,-1,-1,0,1,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gerald Smith","gerald-smith-1","[]","2003-09-27",5,"Penn State",37,,"Minnesota",33,"L",,,,,,,,,,,,3,28,9.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jerry Smith","jerry-smith-1","[]","2003-09-27",4,"Boise St.",84,,"Wyoming",94,"W",,,,,,,,1,8,8,0,6,79,13.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jonathan Smith","jonathan-smith-1","[]","2003-09-27",5,"Georgia Tech",17,"@","Vanderbilt",120,"W",,,,,,,,,,,,2,21,10.5,0,,,,,,,,,,,,,,,,,,,,,,,,,4,48,12,0
"Mike Smith","mike-smith-1","[]","2003-09-27",4,"Miami (OH)",78,,"Cincinnati",2,"W",,,,,,,,18,50,2.8,2,3,8,2.7,0,,,,,,,,,,,,,,,,,,,,,3,61,20.3,0,,,,
"Richard Smith","richard-smith-1","[]","2003-09-27",4,"Arkansas",108,"@","Alabama",107,"W",,,,,,,,,,,,3,37,12.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ryan Smith","ryan-smith-1","[]","2003-09-27",4,"UCLA",102,,"San Diego St.",90,"W",,,,,,,,,,,,3,33,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steve Smith","steve-smith-2","['WR']","2003-09-27",4,"USC",103,"@","California",97,"L",,,,,,,,,,,,1,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tre Smith","tre-smith-1","['RB']","2003-09-27",4,"Auburn",109,,"Western Kentucky",64,"W",,,,,,,,11,30,2.7,2,1,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,5,54,10.8,0
"Tristan Smith","tristan-smith-1","[]","2003-09-27",5,"Tulane",11,"@","Texas",48,"L",,,,,,,,2,28,14,0,3,23,7.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nick Sparks","nick-sparks-1","[]","2003-09-27",5,"Akron",71,"@","Buffalo",74,"W",,,,,,,,,,,,2,24,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tyke Spencer","tyke-spencer-1","[]","2003-09-27",5,"Indiana",28,"@","Michigan",31,"L",,,,,,,,,,,,1,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chris Stallworth","chris-stallworth-1","[]","2003-09-27",4,"Utah St.",93,,"UL Monroe",130,"W",,,,,,,,,,,,7,60,8.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Frederick Stamps","frederick-stamps-1","[]","2003-09-27",5,"Louisiana",126,"@","North Texas",57,"L",,,,,,,,,,,,3,49,16.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Isaiah Stanback","isaiah-stanback-1","['WR', 'QB']","2003-09-27",4,"Washington",105,,"Stanford",101,"W",,,,,,,,,,,,1,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John Standeford","john-standeford-1","[]","2003-09-27",4,"Purdue",38,,"Notre Dame",70,"W",,,,,,,,,,,,6,63,10.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jerome Stegall","jerome-stegall-1","[]","2003-09-27",5,"Arkansas St.",122,"@","Memphis",6,"L",,,,,,,,,,,,3,26,8.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michael Steinhaus","michael-steinhaus-1","['TE']","2003-09-27",5,"Ball St.",72,"@","Boston College",13,"L",,,,,,,,,,,,1,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Darnell Stephens","darnell-stephens-1","[]","2003-09-27",5,"Air Force",83,"@","BYU",66,"W",,,,,,,,16,93,5.8,0,1,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
