"Player","unique_id","position","Date","G","School","Team Code","Loc","Opponent","Team Code opp","WL","Pass Comp","Pass Att","Pass Pct","Pass Yard","Pass TD","Pass Int","QBR","Rush Att","Rush Yard","Rush Avg","Rush TD","Rec","Rec Yards","Rec Avg","Rec TD","Tackle Solo","Tackle Assist","Tackle Tot","Tackle for Loss","Sack","Int Ret","Int Ret Yds","Int TD","Pass Broken Up","FR","FR Yds","FR TD","Fumble Forced","XP Made","XP Att","XP %","FG Made","FG Att","FG %","Pts","Kick Ret","Kick Ret Yds","Kick Ret Avg","Kick Ret TD","Punt Ret","Punt Ret Yds","Punt Ret Avg","Punt Ret TD"
"Cedric Dargan","cedric-dargan-1","['RB']","2004-11-13",10,"Duke",15,,"Clemson",14,"W",0,1,0,0,0,1,-200,19,25,1.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tyler Donovan","tyler-donovan-1","['QB']","2004-11-13",10,"Wisconsin",40,"@","Michigan St.",32,"L",1,1,100,1,0,0,108.4,4,27,6.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Damon Dowdell","damon-dowdell-1","[]","2004-11-13",10,"Michigan St.",32,,"Wisconsin",40,"W",6,14,42.9,47,1,1,80.3,3,72,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Darian Durant","darian-durant-1","[]","2004-11-13",10,"North Carolina",21,"@","Wake Forest",26,"W",18,36,50,225,2,1,115.3,7,4,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tony Eckert","tony-eckert-1","['QB']","2004-11-13",10,"SMU",8,,"Nevada",88,"W",6,10,60,129,1,1,181.4,3,-27,-9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Danny Embick","danny-embick-1","['QB']","2004-11-13",9,"Florida Atlantic",52,,"New Mexico State",69,"L",2,6,33.3,42,0,1,58.8,3,-6,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adam Fitch","adam-fitch-1","['QB']","2004-11-13",10,"Air Force",83,,"San Diego St.",90,"L",4,8,50,69,0,1,97.5,16,135,8.4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ethan Flatt","ethan-flatt-1","['QB']","2004-11-13",9,"Ole Miss",116,"@","Arkansas",108,"L",11,21,52.4,126,0,0,102.8,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charlie Frye","charlie-frye-1","[]","2004-11-13",10,"Akron",71,"@","Ohio",80,"W",15,22,68.2,190,1,0,155.7,9,-13,-1.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Graham Gochneaur","graham-gochneaur-1","[]","2004-11-13",10,"Marshall",55,"@","Bowling Green",73,"L",4,7,57.1,15,0,1,46.6,3,20,6.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles Gordon","charles-gordon-1","['WR']","2004-11-13",10,"Kansas",43,,"Texas",48,"L",0,1,0,0,0,1,-200,,,,,1,21,21,0,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,0
"David Greene","david-greene-1","[]","2004-11-13",10,"Georgia",111,"@","Auburn",109,"L",15,22,68.2,159,1,1,134.8,3,-13,-4.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Robbie Haas","robbie-haas-1","['QB']","2004-11-13",10,"Western Michigan",82,,"Miami (OH)",78,"L",0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Darrell Hackney","darrell-hackney-1","['QB']","2004-11-13",9,"UAB",61,,"Houston",5,"W",14,25,56,238,2,1,154.4,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marques Hagans","marques-hagans-1","['QB']","2004-11-13",9,"Virginia",24,,"Miami (FL)",19,"L",10,25,40,94,1,2,68.8,9,85,9.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles Hales","charles-hales-1","[]","2004-11-13",10,"West Virginia",50,,"Boston College",13,"L",0,2,0,0,0,1,-100,2,-3,-1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jared Hall","jared-hall-1","[]","2004-11-13",10,"North Carolina",21,"@","Wake Forest",26,"W",1,1,100,9,0,0,175.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scott Hall","scott-hall-1","[]","2004-11-13",10,"North Texas",57,,"Idaho",133,"W",13,18,72.2,168,2,0,187.3,4,-17,-4.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brandon Hance","brandon-hance-1","[]","2004-11-13",10,"USC",103,,"Arizona",95,"W",1,1,100,6,0,0,150.4,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Caleb Hanie","caleb-hanie-1","['QB']","2004-11-13",10,"Colorado St.",85,,"UNLV",92,"W",12,16,75,211,2,0,227,4,29,7.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casey Hansen","casey-hansen-1","[]","2004-11-13",10,"Colorado St.",85,,"UNLV",92,"W",1,1,100,10,0,0,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michael Harrington","michael-harrington-1","['QB']","2004-11-13",11,"Idaho",133,"@","North Texas",57,"L",24,42,57.1,328,2,3,124.2,9,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ryan Hawk","ryan-hawk-1","[]","2004-11-13",11,"Ohio",80,,"Akron",71,"L",14,27,51.9,157,0,2,85.9,14,-21,-1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andy Heiser","andy-heiser-1","[]","2004-11-13",10,"Nevada",88,"@","SMU",8,"L",1,1,100,3,0,0,125.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chad Henne","chad-henne-1","['QB']","2004-11-13",10,"Michigan",31,,"Northwestern",35,"W",19,26,73.1,187,2,0,158.9,5,-13,-2.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stan Hill","stan-hill-1","[]","2004-11-13",10,"Marshall",55,"@","Bowling Green",73,"L",31,49,63.3,348,2,2,128.2,2,-9,-4.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richard Irvin","richard-irvin-1","[]","2004-11-13",9,"Tulane",11,,"Army",65,"W",10,14,71.4,123,0,1,130.9,1,-3,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bernard Jackson","bernard-jackson-1","['QB']","2004-11-13",10,"Colorado",98,,"Kansas St.",44,"W",1,1,100,41,0,0,444.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Omar Jacobs","omar-jacobs-1","['QB']","2004-11-13",10,"Bowling Green",73,,"Marshall",55,"W",24,37,64.9,389,5,1,192.4,7,23,3.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Johnson","robert-johnson-1","['QB']","2004-11-13",9,"Arkansas",108,,"Ole Miss",116,"W",2,4,50,47,0,0,148.7,2,7,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"James Jones","james-jones-3","['WR']","2004-11-13",9,"San Jose St.",91,,"Boise St.",84,"L",1,1,100,1,0,0,108.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,10,0
"Matt Jones","matt-jones-1","[]","2004-11-13",9,"Arkansas",108,,"Ole Miss",116,"W",11,16,68.8,108,2,0,166.7,5,126,25.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pat Julmiste","pat-julmiste-1","['QB']","2004-11-13",8,"South Florida",9,,"East Carolina",4,"W",12,16,75,233,0,0,197.3,12,69,5.8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steven Jyles","steven-jyles-1","['QB']","2004-11-13",10,"UL Monroe",130,"@","Middle Tennessee",56,"L",25,47,53.2,291,2,2,110.7,16,52,3.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joey Kearney","joey-kearney-1","[]","2004-11-13",10,"Colorado St.",85,,"UNLV",92,"W",0,1,0,0,0,0,0,1,-2,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sam Keller","sam-keller-1","['QB']","2004-11-13",10,"Arizona St.",96,,"Washington St.",106,"W",0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"James Kilian","james-kilian-1","[]","2004-11-13",10,"Tulsa",12,"@","Louisiana Tech",54,"L",13,27,48.1,156,1,2,94.1,16,38,2.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brandon Kirsch","brandon-kirsch-1","['QB']","2004-11-13",10,"Purdue",38,,"Ohio St.",36,"W",22,34,64.7,210,2,1,130.1,10,5,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joel Klatt","joel-klatt-1","['QB']","2004-11-13",10,"Colorado",98,,"Kansas St.",44,"W",14,26,53.8,184,2,1,131,6,-24,-4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kevin Kolb","kevin-kolb-1","['QB']","2004-11-13",10,"Houston",5,"@","UAB",61,"L",19,39,48.7,196,0,0,90.9,18,-1,-0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richard Kovalcheck","richard-kovalcheck-1","['QB']","2004-11-13",10,"Arizona",95,"@","USC",103,"L",15,32,46.9,165,1,2,88,5,-16,-3.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matt Kubik","matt-kubik-1","['QB']","2004-11-13",10,"Louisiana Tech",54,,"Tulsa",12,"W",11,26,42.3,164,1,0,108,7,56,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Lane","robert-lane-1","['QB', 'TE']","2004-11-13",9,"Ole Miss",116,"@","Arkansas",108,"L",4,13,30.8,42,0,0,57.9,9,94,10.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chris Leak","chris-leak-1","['QB']","2004-11-13",10,"Florida",110,,"South Carolina",117,"W",18,31,58.1,319,6,2,195.5,4,19,4.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matt Leinart","matt-leinart-1","['QB']","2004-11-13",10,"USC",103,,"Arizona",95,"W",27,35,77.1,280,3,0,172.6,3,7,2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Matt LoVecchio","matt-lovecchio-2","[]","2004-11-13",10,"Indiana",28,,"Penn State",37,"L",11,22,50,137,0,1,93.2,10,7,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brian Luke","brian-luke-1","['QB']","2004-11-13",10,"Kansas",43,,"Texas",48,"L",14,25,56,225,1,0,144.8,2,-16,-8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joey Lynch","joey-lynch-1","['QB']","2004-11-13",10,"Ball St.",72,,"Central Florida",1,"W",10,14,71.4,106,2,1,167.9,6,-19,-3.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marshawn Lynch","marshawn-lynch-1","['RB']","2004-11-13",9,"California",97,"@","Washington",105,"W",1,1,100,14,0,0,217.6,9,121,13.4,2,1,29,29,1,,,,,,,,,,,,,,,,,,,,,2,51,25.5,0,,,,
"Chris Macdonald","chris-macdonald-1","[]","2004-11-13",10,"Arizona St.",96,,"Washington St.",106,"W",1,1,100,34,0,0,385.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chris Malleo","chris-malleo-1","['QB', 'RB', 'LB']","2004-11-13",10,"Northwestern",35,"@","Michigan",31,"L",1,1,100,4,0,0,133.6,2,-2,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clint Marks","clint-marks-1","['QB']","2004-11-13",10,"Middle Tennessee",56,,"UL Monroe",130,"W",26,36,72.2,241,2,0,146.8,4,9,2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rasheed Marshall","rasheed-marshall-1","[]","2004-11-13",10,"West Virginia",50,,"Boston College",13,"L",21,35,60,224,1,1,117.5,20,100,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ben Mauk","ben-mauk-1","['QB']","2004-11-13",9,"Wake Forest",26,,"North Carolina",21,"L",10,24,41.7,100,0,1,68.3,12,96,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D.T. McDowell","dt-mcdowell-1","[]","2004-11-13",10,"Troy",129,"@","Louisiana",126,"W",8,12,66.7,92,0,0,131.1,10,4,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kole McKamey","kole-mckamey-1","['QB']","2004-11-13",10,"New Mexico",89,"@","BYU",66,"W",7,12,58.3,143,1,1,169.3,8,-6,-0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reggie McNeal","reggie-mcneal-1","['QB']","2004-11-13",10,"Texas A&M",119,,"Texas Tech",49,"W",16,26,61.5,254,1,0,156.3,13,55,4.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carl Meadows","carl-meadows-1","['QB']","2004-11-13",10,"Troy",129,"@","Louisiana",126,"W",1,2,50,8,0,0,83.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dylan Meier","dylan-meier-1","['QB']","2004-11-13",10,"Kansas St.",44,"@","Colorado",98,"L",8,12,66.7,72,1,0,144.6,1,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zack Mills","zack-mills-1","[]","2004-11-13",10,"Penn State",37,"@","Indiana",28,"W",11,19,57.9,169,1,1,139.5,7,11,1.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blake Mitchell","blake-mitchell-1","['QB']","2004-11-13",10,"South Carolina",117,"@","Florida",110,"L",2,5,40,-2,0,1,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Steven Moffett","steven-moffett-1","['QB']","2004-11-13",10,"Central Florida",1,"@","Ball St.",72,"L",13,21,61.9,131,1,0,130,14,10,0.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anthony Morelli","anthony-morelli-1","['QB']","2004-11-13",10,"Penn State",37,"@","Indiana",28,"W",1,4,25,13,0,1,2.3,1,-12,-12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Syvelle Newton","syvelle-newton-1","['WR', 'QB']","2004-11-13",10,"South Carolina",117,"@","Florida",110,"L",7,17,41.2,66,0,3,38.5,12,31,2.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John Nielsen","john-nielsen-1","[]","2004-11-13",10,"Kansas",43,,"Texas",48,"L",9,15,60,83,0,0,106.5,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kevin O'Connell","kevin-oconnell-2","['QB']","2004-11-13",10,"San Diego St.",90,"@","Air Force",83,"W",17,32,53.1,232,2,1,128.4,8,82,10.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drew Olson","drew-olson-1","['QB']","2004-11-13",10,"UCLA",102,"@","Oregon",99,"W",12,21,57.1,215,1,0,158.9,9,39,4.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dan Orlovsky","dan-orlovsky-1","[]","2004-11-13",9,"Connecticut",3,"@","Georgia Tech",17,"L",28,49,57.1,205,0,0,92.3,4,-22,-5.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kyle Orton","kyle-orton-1","[]","2004-11-13",10,"Purdue",38,,"Ohio St.",36,"W",7,8,87.5,54,1,0,185.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T.C. Ostrander","tc-ostrander-1","['QB']","2004-11-13",10,"Stanford",101,,"Oregon St.",100,"L",17,45,37.8,247,2,1,94.1,7,-23,-3.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tyler Palko","tyler-palko-1","['QB']","2004-11-13",9,"Pittsburgh",22,"@","Notre Dame",70,"W",26,42,61.9,334,5,0,168,13,30,2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jordan Palmer","jordan-palmer-1","['QB']","2004-11-13",9,"UTEP",62,,"Rice",59,"W",19,28,67.9,191,3,1,153.4,3,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Terrance Parks","terrance-parks-1","['QB', 'TE']","2004-11-13",10,"Baylor",41,"@","Oklahoma St.",46,"L",18,34,52.9,261,2,1,131,10,19,1.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Perry Patterson","perry-patterson-1","['QB']","2004-11-13",10,"Syracuse",23,"@","Temple",10,"L",20,35,57.1,240,0,1,109,3,5,1.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casey Paus","casey-paus-1","['QB']","2004-11-13",10,"Washington",105,,"California",97,"L",20,44,45.5,328,1,3,101.9,5,-17,-3.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spencer Pennington","spencer-pennington-1","[]","2004-11-13",10,"Alabama",107,"@","LSU",113,"L",7,15,46.7,114,0,1,97.2,5,-29,-5.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paul Peterson","paul-peterson-1","[]","2004-11-13",9,"Boston College",13,"@","West Virginia",50,"W",18,30,60,162,2,0,127.4,8,-31,-3.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buck Pierce","buck-pierce-1","[]","2004-11-13",10,"New Mexico State",69,"@","Florida Atlantic",52,"W",18,30,60,239,2,0,148.9,8,42,5.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"James Pinkney","james-pinkney-1","['QB']","2004-11-13",9,"East Carolina",4,"@","South Florida",9,"L",14,24,58.3,131,1,1,109.6,7,2,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"P.J. Piskorik","pj-piskorik-1","[]","2004-11-13",10,"Buffalo",74,,"Central Michigan",75,"W",6,17,35.3,122,0,1,83.8,10,85,8.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Darryl Polk","darryl-polk-1","[]","2004-11-13",10,"Kent State",77,,"Eastern Michigan",76,"W",0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brady Quinn","brady-quinn-1","['QB']","2004-11-13",10,"Notre Dame",70,,"Pittsburgh",22,"L",15,26,57.7,259,3,2,164.1,2,13,6.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marcus Randall","marcus-randall-1","[]","2004-11-13",9,"LSU",113,,"Alabama",107,"W",1,4,25,-1,0,0,22.9,3,-5,-1.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cory Randolph","cory-randolph-1","['QB']","2004-11-13",9,"Wake Forest",26,,"North Carolina",21,"L",2,4,50,9,0,0,68.9,2,-5,-2.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mike Rathe","mike-rathe-1","[]","2004-11-13",10,"South Carolina",117,"@","Florida",110,"L",5,7,71.4,68,1,0,200.2,2,11,5.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Desmond Reed","desmond-reed-1","['RB']","2004-11-13",10,"USC",103,,"Arizona",95,"W",1,1,100,55,0,0,562,2,37,18.5,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lester Ricard","lester-ricard-1","['QB']","2004-11-13",9,"Tulane",11,,"Army",65,"W",13,18,72.2,227,2,0,214.8,2,9,4.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clayton Richard","clayton-richard-1","[]","2004-11-13",10,"Michigan",31,,"Northwestern",35,"W",1,2,50,3,0,0,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kevin Roach","kevin-roach-1","['WR']","2004-11-13",9,"East Carolina",4,"@","South Florida",9,"L",1,1,100,25,0,0,310,,,,,5,47,9.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Desmond Robinson","desmond-robinson-1","[]","2004-11-13",9,"East Carolina",4,"@","South Florida",9,"L",0,2,0,0,0,1,-100,2,1,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aaron Rodgers","aaron-rodgers-1","[]","2004-11-13",9,"California",97,"@","Washington",105,"W",12,23,52.2,161,2,2,122.3,9,42,4.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dale Rogers","dale-rogers-1","[]","2004-11-13",9,"San Jose St.",91,,"Boise St.",84,"L",7,16,43.8,149,1,1,130.1,12,4,0.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jerad Romo","jerad-romo-1","['QB']","2004-11-13",10,"SMU",8,,"Nevada",88,"W",8,13,61.5,101,0,1,111.4,17,79,4.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jeff Rowe","jeff-rowe-1","['QB']","2004-11-13",10,"Nevada",88,"@","SMU",8,"L",29,46,63,351,2,1,137.1,6,13,2.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JaMarcus Russell","jamarcus-russell-1","['QB']","2004-11-13",9,"LSU",113,,"Alabama",107,"W",5,10,50,92,1,0,160.3,3,-25,-8.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mike Schneider","mike-schneider-1","['QB']","2004-11-13",10,"Duke",15,,"Clemson",14,"W",20,31,64.5,213,1,0,132.9,9,-18,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Austin Scott","austin-scott-1","['RB']","2004-11-13",10,"Penn State",37,"@","Indiana",28,"W",0,1,0,0,0,0,0,14,74,5.3,0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,,,,
"Randall Secky","randall-secky-1","[]","2004-11-13",10,"Buffalo",74,,"Central Michigan",75,"W",1,5,20,42,0,0,90.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D.J. Shockley","dj-shockley-1","['QB']","2004-11-13",10,"Georgia",111,"@","Auburn",109,"L",2,5,40,35,0,0,98.8,3,8,2.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alex Smith","alex-smith-3","[]","2004-11-13",10,"Utah",104,"@","Wyoming",94,"W",17,27,63,244,3,0,175.5,14,90,6.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kent Smith","kent-smith-1","['QB']","2004-11-13",10,"Central Michigan",75,"@","Buffalo",74,"L",18,37,48.6,184,1,1,93.9,15,-26,-1.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Troy Smith","troy-smith-1","['QB']","2004-11-13",10,"Ohio St.",36,"@","Purdue",38,"L",14,29,48.3,192,1,3,94.6,16,62,3.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drew Stanton","drew-stanton-1","['QB']","2004-11-13",10,"Michigan St.",32,,"Wisconsin",40,"W",3,5,60,44,1,0,199.9,4,21,5.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shane Steichen","shane-steichen-1","['QB']","2004-11-13",10,"UNLV",92,"@","Colorado St.",85,"L",11,28,39.3,108,0,1,64.5,3,20,6.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cole Stinson","cole-stinson-1","['QB']","2004-11-13",10,"Ball St.",72,,"Central Florida",1,"W",2,6,33.3,11,0,0,48.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"John Stocco","john-stocco-1","['QB']","2004-11-13",10,"Wisconsin",40,"@","Michigan St.",32,"L",20,38,52.6,178,0,0,92,6,9,1.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chansi Stuckey","chansi-stuckey-1","['QB', 'WR']","2004-11-13",10,"Clemson",14,"@","Duke",15,"L",0,1,0,0,0,0,0,1,5,5,0,2,23,11.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Adam Tafralis","adam-tafralis-1","['QB']","2004-11-13",9,"San Jose St.",91,,"Boise St.",84,"L",8,16,50,138,1,0,143.1,9,30,3.3,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drew Tate","drew-tate-1","['QB']","2004-11-13",10,"Iowa",29,"@","Minnesota",33,"W",24,39,61.5,333,2,0,150.2,10,-23,-2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joey Vincent","joey-vincent-1","['QB']","2004-11-13",10,"New Mexico State",69,"@","Florida Atlantic",52,"W",0,1,0,0,0,0,0,1,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrew Walter","andrew-walter-1","[]","2004-11-13",10,"Arizona St.",96,,"Washington St.",106,"W",26,41,63.4,332,5,0,171.7,6,7,1.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walter Washington","walter-washington-1","[]","2004-11-13",10,"Temple",10,,"Syracuse",23,"W",10,19,52.6,130,1,0,127.5,29,185,6.4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allen Webb","allen-webb-1","['QB']","2004-11-13",10,"Kansas St.",44,"@","Colorado",98,"L",14,22,63.6,140,0,1,108,24,103,4.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jason White","jason-white-1","[]","2004-11-13",10,"Oklahoma",45,,"Nebraska",34,"W",29,35,82.9,383,3,0,203.1,2,-8,-4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Charlie Whitehurst","charlie-whitehurst-1","['QB']","2004-11-13",10,"Clemson",14,"@","Duke",15,"L",12,26,46.2,117,0,2,68.6,6,21,3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carnell Williams","carnell-williams-1","[]","2004-11-13",10,"Auburn",109,,"Georgia",111,"W",1,1,100,29,1,0,673.6,19,101,5.3,1,4,20,5,0,,,,,,,,,,,,,,,,,,,,,,,,,4,77,19.3,0
"Donovan Woods","donovan-woods-1","['QB', 'DB', 'LB']","2004-11-13",10,"Oklahoma St.",46,,"Baylor",41,"W",8,15,53.3,164,2,0,189.2,11,70,6.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andre Woodson","andre-woodson-1","['QB']","2004-11-13",10,"Kentucky",112,,"Vanderbilt",120,"W",5,7,71.4,45,0,0,125.4,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vince Young","vince-young-1","['QB']","2004-11-13",10,"Texas",48,"@","Kansas",43,"W",22,40,55,289,1,2,113.9,19,114,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jared Zabransky","jared-zabransky-1","['QB']","2004-11-13",9,"Boise St.",84,"@","San Jose St.",91,"W",15,24,62.5,200,0,1,124.2,14,26,1.9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scott Hall","scott-hall-1","[]","2004-11-18",11,"North Texas",57,"@","Arkansas St.",122,"W",17,25,68,200,3,0,174.8,7,21,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
