Player,Date,G,School,Loc,Opponent,WL,Rec,Rec Yards,Rec Avg,Rec TD,unique_id
Jason Avant,2004-09-04,1,Michigan,,Miami (OH),W,1,11,11.0,0,jason-avant-1
Maurice Avery,2004-09-04,1,Memphis,@,Mississippi,W,4,79,19.8,0,maurice-avery-1
Chris Baker,2004-09-04,1,Arkansas,,New Mexico State,W,1,74,74.0,1,chris-baker-1
Chris Baker,2004-09-04,1,Rutgers,,Michigan State,W,1,23,23.0,0,chris-baker-3
Chris Barclay,2004-09-04,1,Wake Forest,@,Clemson,L,1,-4,-4.0,0,chris-barclay-1
Josh Barge,2004-09-04,1,Wyoming,,Appalachian State,W,1,16,16.0,0,josh-barge-1
Lamart Barrett,2004-09-04,1,North Carolina State,,Richmond,W,6,59,9.8,0,lamart-barrett-1
Matt Bartz,2004-09-04,1,Colorado State,@,Colorado,L,3,21,7.0,1,matt-bartz-1
Dan Basch,2004-09-04,1,Akron,@,Penn State,L,1,0,0.0,0,dan-basch-1
Brad Bates,2004-09-04,1,Marshall,,Troy,L,1,49,49.0,0,brad-bates-1
Mike Bell,2004-09-04,1,Arizona,,Northern Arizona,W,3,17,5.7,0,mike-bell-1
Cedric Benson,2004-09-04,1,Texas,,North Texas,W,1,2,2.0,0,cedric-benson-1
Bobby Bernal-Wood,2004-09-04,1,Idaho,@,Boise State,L,3,34,11.3,0,bobby-bernal-wood-1
Dewhitt Betterson,2004-09-04,1,Troy,@,Marshall,W,1,-9,-9.0,0,dewhitt-betterson-1
Taye Biddle,2004-09-04,1,Mississippi,,Memphis,L,3,83,27.7,0,taye-biddle-1
Brett Biggs,2004-09-04,1,Akron,@,Penn State,L,2,21,10.5,0,brett-biggs-1
Decori Birmingham,2004-09-04,1,Arkansas,,New Mexico State,W,2,16,8.0,0,decori-birmingham-1
Darrell Blackman,2004-09-04,1,North Carolina State,,Richmond,W,2,15,7.5,0,darrell-blackman-1
Caleb Blankenship,2004-09-04,1,Tulsa,@,Kansas,L,1,13,13.0,0,caleb-blankenship-1
Andy Blount,2004-09-04,1,North Texas,@,Texas,L,4,49,12.3,0,andy-blount-1
Todd Blythe,2004-09-04,1,Iowa State,,Northern Iowa,W,3,40,13.3,1,todd-blythe-1
Brock Bolen,2004-09-04,1,Illinois,,Florida A&M,W,1,3,3.0,0,brock-bolen-1
Jovon Bouknight,2004-09-04,1,Wyoming,,Appalachian State,W,6,80,13.3,0,jovon-bouknight-1
Dwayne Bowe,2004-09-04,1,Louisiana State,,Oregon State,W,5,103,20.6,1,dwayne-bowe-1
Bryson Bowling,2004-09-04,1,East Carolina,@,West Virginia,L,1,11,11.0,0,bryson-bowling-1
Adarius Bowman,2004-09-04,1,North Carolina,,William & Mary,W,6,61,10.2,1,adarius-bowman-1
Cory Boyd,2004-09-04,1,South Carolina,@,Vanderbilt,W,4,59,14.8,0,cory-boyd-1
Mark Bradford,2004-09-04,1,Stanford,,San Jose State,W,3,25,8.3,0,mark-bradford-1
Mark Bradley,2004-09-04,1,Oklahoma,,Bowling Green State,W,1,6,6.0,0,mark-bradley-1
Ahmad Bradshaw,2004-09-04,1,Marshall,,Troy,L,2,-1,-0.5,0,ahmad-bradshaw-1
Craig Bragg,2004-09-04,1,UCLA,,Oklahoma State,L,4,87,21.8,0,craig-bragg-1
Steve Breaston,2004-09-04,1,Michigan,,Miami (OH),W,4,33,8.3,0,steve-breaston-1
Michael Brewster,2004-09-04,1,Hawaii,,Florida Atlantic,L,6,26,4.3,0,michael-brewster-1
Cornell Brockington,2004-09-04,1,Connecticut,,Murray State,W,2,22,11.0,0,cornell-brockington-1
Mike Brooks,2004-09-04,1,Arkansas State,@,Missouri,L,2,22,11.0,0,mike-brooks-1
John Broussard,2004-09-04,1,San Jose State,@,Stanford,L,3,55,18.3,0,john-broussard-1
Art Brown,2004-09-04,1,East Carolina,@,West Virginia,L,5,34,6.8,0,art-brown-1
Curtis Brown,2004-09-04,1,Brigham Young,,Notre Dame,W,5,15,3.0,0,curtis-brown-3
Derron Brown,2004-09-04,1,Southern Methodist,,Texas Tech,L,2,6,3.0,0,derron-brown-1
Keith Brown,2004-09-04,1,Alabama,,Utah State,W,4,91,22.8,1,keith-brown-2
Kyle Brown,2004-09-04,1,Michigan State,@,Rutgers,L,1,10,10.0,0,kyle-brown-2
Reggie Brown,2004-09-04,1,Georgia,,Georgia Southern,W,4,87,21.8,1,reggie-brown-2
Ronnie Brown,2004-09-04,1,Auburn,,Louisiana-Monroe,W,2,7,3.5,0,ronnie-brown-1
Tim Brown,2004-09-04,1,Temple,,Virginia,L,4,36,9.0,0,tim-brown-2
Kyle Browning,2004-09-04,1,Clemson,,Wake Forest,W,2,10,5.0,1,kyle-browning-1
Brian Brownlee,2004-09-04,1,South Carolina,@,Vanderbilt,W,1,1,1.0,1,brian-brownlee-1
Melvin Bryant,2004-09-04,1,Illinois,,Florida A&M,W,3,34,11.3,1,melvin-bryant-1
Kenneth Buckley,2004-09-04,1,New Mexico State,@,Arkansas,L,1,2,2.0,0,kenneth-buckley-1
Justine Buries,2004-09-04,1,New Mexico State,@,Arkansas,L,1,6,6.0,0,justine-buries-1
Tom Busch,2004-09-04,1,Iowa,,Kent State,W,2,22,11.0,0,tom-busch-1
Chris Bush,2004-09-04,1,Tulane,@,Mississippi State,L,3,71,23.7,1,chris-bush-1
Eric Butler,2004-09-04,1,Mississippi State,,Tulane,W,2,38,19.0,1,eric-butler-2
Emmanuel Byers,2004-09-04,1,Virginia,@,Temple,W,1,15,15.0,0,emmanuel-byers-1
Roosevelt Bynes,2004-09-04,1,Florida Atlantic,@,Hawaii,W,1,12,12.0,0,roosevelt-bynes-1
Matt Caddell,2004-09-04,1,Alabama,,Utah State,W,1,8,8.0,0,matt-caddell-1
Greg Camarillo,2004-09-04,1,Stanford,,San Jose State,W,2,27,13.5,0,greg-camarillo-1
Xavier Campbell,2004-09-04,1,Louisiana,,Northwestern State,W,1,9,9.0,0,xavier-campbell-1
Tavaris Capers,2004-09-04,1,Central Florida,@,Wisconsin,L,2,27,13.5,0,tavaris-capers-1
Jeff Carpenter,2004-09-04,1,Boise State,,Idaho,W,1,5,5.0,0,jeff-carpenter-1
Brian Carter,2004-09-04,1,Texas,,North Texas,W,1,16,16.0,0,brian-carter-1
Brian Casey,2004-09-04,1,Kansas State,,Western Kentucky,W,1,28,28.0,0,brian-casey-1
Tim Castille,2004-09-04,1,Alabama,,Utah State,W,2,18,9.0,0,tim-castille-1
Obed Cetoute,2004-09-04,1,Central Michigan,@,Indiana,L,4,54,13.5,0,obed-cetoute-1
Scott Chandler,2004-09-04,1,Iowa,,Kent State,W,1,8,8.0,0,scott-chandler-1
Darrin Charles,2004-09-04,1,Wisconsin,,Central Florida,W,1,12,12.0,0,darrin-charles-1
Earl Charles,2004-09-04,1,Marshall,,Troy,L,2,4,2.0,0,earl-charles-1
Bradley Chavez,2004-09-04,1,Alabama-Birmingham,,Baylor,W,3,60,20.0,1,bradly-chavez-1
Bam Childress,2004-09-04,1,Ohio State,,Cincinnati,W,4,67,16.8,0,bam-childress-1
Chrisean Christopher,2004-09-04,1,Boise State,,Idaho,W,3,81,27.0,0,chrisean-christopher-1
Ikey Chuku,2004-09-04,1,Temple,,Virginia,L,1,14,14.0,0,ikey-chuku-1
Brad Cieslak,2004-09-04,1,Northern Illinois,@,Maryland,L,4,41,10.3,0,brad-cieslak-1
Brian Clark,2004-09-04,1,North Carolina State,,Richmond,W,2,26,13.0,1,brian-clark-1
Kris Clark,2004-09-04,1,South Carolina,@,Vanderbilt,W,1,4,4.0,0,kris-clark-1
Mark Clayton,2004-09-04,1,Oklahoma,,Bowling Green State,W,7,74,10.6,2,mark-clayton-1
Luke Clemens,2004-09-04,2,Miami (OH),@,Michigan,L,2,13,6.5,0,luke-clemens-1
Daniel Coats,2004-09-04,1,Brigham Young,,Notre Dame,W,2,32,16.0,0,daniel-coats-1
Deandra Cobb,2004-09-04,1,Michigan State,@,Rutgers,L,1,5,5.0,0,deandra-cobb-1
Dave Cody,2004-09-04,1,Ohio,,Virginia Military Institute,W,1,8,8.0,0,dave-cody-1
Sean Coffey,2004-09-04,1,Missouri,,Arkansas State,W,5,113,22.6,1,sean-coffey-1
Ryan Cole,2004-09-04,1,Oregon State,@,Louisiana State,L,1,13,13.0,0,ryan-cole-1
Austin Collie,2004-09-04,1,Brigham Young,,Notre Dame,W,3,54,18.0,1,austin-collie-1
Jason Colson,2004-09-04,1,West Virginia,,East Carolina,W,1,6,6.0,0,jason-colson-1
Travis Cones,2004-09-04,1,Louisiana,,Northwestern State,W,2,15,7.5,0,travis-cones-1
R.J. Corbin,2004-09-04,2,Miami (OH),@,Michigan,L,2,27,13.5,0,rj-corbin-1
Roy Covington,2004-09-04,1,North Texas,@,Texas,L,1,8,8.0,0,roy-covington-1
Joe Cowan,2004-09-04,1,UCLA,,Oklahoma State,L,2,10,5.0,0,joe-cowan-1
James Earl Cray,2004-09-04,1,Troy,@,Marshall,W,5,73,14.6,0,james-earl-cray-1
Anthony Crissinger-Hill,2004-09-04,1,Florida Atlantic,@,Hawaii,W,15,183,12.2,2,anthony-crissinger-hill-1
B.J. Crist,2004-09-04,1,Louisiana,,Northwestern State,W,2,16,8.0,0,bj-crist-1
Gerren Crochet,2004-09-04,1,Stanford,,San Jose State,W,2,36,18.0,0,gerren-crochet-1
Garrett Cross,2004-09-04,1,California,@,Air Force,W,2,53,26.5,0,garrett-cross-1
Montiese Culton,2004-09-04,1,Tulsa,@,Kansas,L,2,28,14.0,0,montiese-culton-1
Airese Currie,2004-09-04,1,Clemson,,Wake Forest,W,9,152,16.9,1,airese-currie-1
Nate Curry,2004-09-04,1,Georgia Tech,,Samford,W,3,40,13.3,1,nate-curry-1
Matt Cutaia,2004-09-04,1,Connecticut,,Murray State,W,3,26,8.7,0,matt-cutaia-1
Patrick Danahy,2004-09-04,1,Stanford,,San Jose State,W,1,2,2.0,0,patrick-danahy-1
Mike Daniels,2004-09-04,1,Cincinnati,@,Ohio State,L,1,11,11.0,0,mike-daniels-1
Owen Daniels,2004-09-04,1,Wisconsin,,Central Florida,W,1,52,52.0,1,owen-daniels-1
P.J. Daniels,2004-09-04,1,Georgia Tech,,Samford,W,3,24,8.0,1,pj-daniels-1
Silas Daniels,2004-09-04,1,Auburn,,Louisiana-Monroe,W,1,11,11.0,0,silas-daniels-1
Kenneth Darby,2004-09-04,1,Alabama,,Utah State,W,1,4,4.0,0,kenneth-darby-1
Dantson Dareus,2004-09-04,1,Florida Atlantic,@,Hawaii,W,2,17,8.5,0,dantson-dareus-1
Cedric Dargan,2004-09-04,1,Duke,@,Navy,L,1,5,5.0,0,cedric-dargan-1
Larry Davenport,2004-09-04,1,Louisiana-Monroe,@,Auburn,L,1,3,3.0,0,larry-davenport-1
Anthony Davis,2004-09-04,1,Wisconsin,,Central Florida,W,1,12,12.0,0,anthony-davis-3
Bryson Davis,2004-09-04,1,Mississippi State,,Tulane,W,1,7,7.0,0,bryson-davis-1
Calvin Davis,2004-09-04,1,Iowa,,Kent State,W,1,17,17.0,0,calvin-davis-1
Carl Davis,2004-09-04,1,Tulane,@,Mississippi State,L,2,16,8.0,0,carl-davis-1
Craig Davis,2004-09-04,1,Louisiana State,,Oregon State,W,1,9,9.0,0,craig-davis-1
Damarcus Davis,2004-09-04,1,Tulane,@,Mississippi State,L,1,14,14.0,0,damarcus-davis-1
Erik Davis,2004-09-04,1,Vanderbilt,,South Carolina,L,5,71,14.2,0,erik-davis-1
Jason Davis,2004-09-04,1,Illinois,,Florida A&M,W,3,34,11.3,0,jason-davis-2
Jon Davis,2004-09-04,1,Iowa State,,Northern Iowa,W,4,42,10.5,1,jon-davis-1
Josh Davis,2004-09-04,1,Marshall,,Troy,L,6,79,13.2,1,josh-davis-1
Reggie Davis,2004-09-04,1,North Carolina State,,Richmond,W,1,3,3.0,0,reggie-davis-1
Tavarious Davis,2004-09-04,1,Memphis,@,Mississippi,W,1,20,20.0,0,tavarious-davis-1
Vernon Davis,2004-09-04,1,Maryland,,Northern Illinois,W,5,72,14.4,0,vernon-davis-1
Sean Dawkins,2004-09-04,1,Troy,@,Marshall,W,2,33,16.5,0,sean-dawkins-1
Cedric Dawley,2004-09-04,1,Cincinnati,@,Ohio State,L,1,2,2.0,0,cedric-dawley-1
Trinity Dawson,2004-09-04,1,Toledo,@,Minnesota,L,1,2,2.0,0,trinity-dawson-1
Levi Dejohnette,2004-09-04,1,Arkansas State,@,Missouri,L,4,49,12.3,0,levi-dejohnette-1
