"Player","Date","G","School","Loc","Opponent","WL","Pass Comp","Pass Att","Pass Pct","Pass Yard","Pass TD","Pass Int","QBR","unique_id"
"K.J. Carta-Samuels","2017-09-09",2,"Washington",,"Montana","W",2,2,100,34,0,0,242.8,"kj-carta-samuels-1"
"Christian Chapman","2017-09-09",2,"San Diego State","@","Arizona State","W",9,18,50,73,1,0,102.4,"christian-chapman-1"
"Marcus Childers","2017-09-09",2,"Northern Illinois",,"Eastern Illinois","W",1,1,100,17,0,0,242.8,"marcus-childers-1"
"Keller Chryst","2017-09-09",2,"Stanford","@","Southern California","L",15,28,53.6,172,2,0,128.7,"keller-chryst-1"
"Chris Chugunov","2017-09-09",2,"West Virginia",,"East Carolina","W",5,9,55.6,51,0,0,103.2,"chris-chugunov-1"
"Jack Coan","2017-09-09",2,"Wisconsin",,"Florida Atlantic","W",1,1,100,6,0,0,150.4,"jack-coan-1"
"Ross Comis","2017-09-09",3,"Massachusetts",,"Old Dominion","L",1,4,25,17,0,0,60.7,"ross-comis-1"
"Zerrick Cooper","2017-09-09",2,"Clemson",,"Auburn","W",1,2,50,4,0,0,66.8,"zerrick-cooper-1"
"Montell Cozart","2017-09-09",2,"Boise State","@","Washington State","L",12,20,60,161,2,1,150.6,"montell-cozart-1"
"Chayce Crouch","2017-09-09",2,"Illinois",,"Western Kentucky","W",14,25,56,107,0,1,84,"chayce-crouch-1"
"Sam Darnold","2017-09-09",2,"Southern California",,"Stanford","W",21,26,80.8,316,4,2,218.2,"sam-darnold-1"
"Jordan Davis","2017-09-09",2,"Louisiana","@","Tulsa","L",21,32,65.6,309,2,1,161.1,"jordan-davis-5"
"Brandon Dawkins","2017-09-09",2,"Arizona",,"Houston","L",17,29,58.6,178,0,0,110.2,"brandon-dawkins-2"
"Ben DiNucci","2017-09-09",2,"Pittsburgh","@","Penn State","L",5,9,55.6,49,0,0,101.3,"ben-dinucci-1"
"Quinten Dormady","2017-09-09",2,"Tennessee",,"Indiana State","W",13,18,72.2,194,2,1,188.3,"quinten-dormady-1"
"Eric Dungey","2017-09-09",2,"Syracuse",,"Middle Tennessee State","L",26,42,61.9,180,0,1,93.1,"eric-dungey-1"
"Sam Ehlinger","2017-09-09",2,"Texas",,"San Jose State","W",15,27,55.6,222,1,0,136.8,"sam-ehlinger-1"
"Westin Elliott","2017-09-09",2,"Louisiana Tech",,"Mississippi State","L",3,6,50,23,1,0,137.2,"westin-elliott-1"
"A.J. Erdely","2017-09-09",2,"Alabama-Birmingham","@","Ball State","L",15,24,62.5,168,0,0,121.3,"aj-erdely-1"
"Jesse Ertz","2017-09-09",2,"Kansas State",,"UNC Charlotte","W",16,21,76.2,178,0,0,147.4,"jesse-ertz-1"
"Danny Etling","2017-09-09",2,"Louisiana State",,"Chattanooga","W",8,14,57.1,227,1,0,216.9,"danny-etling-1"
"Luke Falk","2017-09-09",2,"Washington State",,"Boise State","W",24,34,70.6,193,0,1,112.4,"luke-falk-1"
"Mason Fine","2017-09-09",2,"North Texas","@","Southern Methodist","L",32,47,68.1,424,3,2,156.4,"mason-fine-1"
"Ryan Finley","2017-09-09",2,"North Carolina State",,"Marshall","W",29,36,80.6,341,3,0,187.6,"ryan-finley-1"
"Nick Fitzgerald","2017-09-09",2,"Mississippi State","@","Louisiana Tech","W",12,18,66.7,124,3,1,168.4,"nick-fitzgerald-2"
"Andrew Ford","2017-09-09",3,"Massachusetts",,"Old Dominion","L",21,32,65.6,236,1,0,137.9,"andrew-ford-1"
"Jake Fromm","2017-09-09",2,"Georgia","@","Notre Dame","W",16,29,55.2,141,1,1,100.5,"jake-fromm-1"
"Ty Gangi","2017-09-09",2,"Nevada",,"Toledo","L",19,37,51.4,277,2,1,126.7,"ty-gangi-1"
"D.J. Gillins","2017-09-09",2,"Southern Methodist",,"North Texas","W",1,1,100,76,1,0,1068.4,"dj-gillins-1"
"Sam Glaesmann","2017-09-09",2,"Rice","@","Texas-El Paso","W",10,18,55.6,131,1,0,135,"sam-glaesmann-1"
"Will Grier","2017-09-09",2,"West Virginia",,"East Carolina","W",19,25,76,352,5,0,260.3,"will-grier-1"
"Kwadra Griggs","2017-09-09",2,"Southern Mississippi",,"Southern","W",15,23,65.2,209,2,0,170.2,"kwadra-griggs-1"
"Jarrett Guarantano","2017-09-09",2,"Tennessee",,"Indiana State","W",4,12,33.3,41,1,0,89.5,"jarrett-guarantano-1"
"Brandon Harris","2017-09-09",2,"North Carolina",,"Louisville","L",17,23,73.9,216,1,0,167.1,"brandon-harris-4"
"Jerrod Heard","2017-09-09",2,"Texas",,"San Jose State","W",1,2,50,-5,0,0,29,"jerrod-heard-1"
"Justin Herbert","2017-09-09",2,"Oregon",,"Nebraska","W",25,33,75.8,365,3,1,192.6,"justin-herbert-1"
"Timmy Hernandez","2017-09-09",3,"Oregon State",,"Minnesota","L",1,1,100,10,0,0,184,"timmy-hernandez-1"
"Ben Hicks","2017-09-09",2,"Southern Methodist",,"North Texas","W",20,39,51.3,312,4,1,147.2,"ben-hicks-1"
"Tyler Hilinski","2017-09-09",2,"Washington State",,"Boise State","W",25,33,75.8,240,3,1,160.8,"tyler-hilinski-1"
"Kasim Hill","2017-09-09",2,"Maryland",,"Towson","W",13,16,81.3,163,2,0,208.1,"kasim-hill-1"
"Kenny Hill","2017-09-09",2,"Texas Christian","@","Arkansas","W",21,31,67.7,166,0,1,106.3,"kenny-hill-1"
"Nick Holley","2017-09-09",2,"Kent State",,"Howard","W",8,16,50,105,2,0,146.4,"nick-holley-1"
"Alex Hornibrook","2017-09-09",2,"Wisconsin",,"Florida Atlantic","W",16,28,57.1,201,1,1,122.1,"alex-hornibrook-1"
"Keon Howard","2017-09-09",2,"Southern Mississippi",,"Southern","W",5,9,55.6,71,0,0,121.8,"keon-howard-1"
"Jordan Hoy","2017-09-09",2,"Old Dominion","@","Massachusetts","W",3,7,42.9,40,0,0,90.9,"jordan-hoy-2"
"Jake Hubenak","2017-09-09",2,"Texas A&M",,"Nicholls State","W",12,15,80,93,0,0,132.1,"jake-hubenak-1"
"Jacob Huesman","2017-09-09",2,"Appalachian State",,"Savannah State","W",1,2,50,5,0,0,71,"jacob-huesman-1"
"Tyler Huntley","2017-09-09",2,"Utah","@","Brigham Young","W",27,36,75,300,0,0,145,"tyler-huntley-1"
"Jalen Hurts","2017-09-09",2,"Alabama",,"Fresno State","W",14,18,77.8,128,1,0,155.8,"jalen-hurts-1"
"Josh Jackson","2017-09-09",2,"Virginia Tech",,"Delaware","W",16,28,57.1,222,2,0,147.3,"josh-jackson-5"
"Lamar Jackson","2017-09-09",2,"Louisville","@","North Carolina","W",25,39,64.1,393,3,0,174.1,"lamar-jackson-1"
"Tyree Jackson","2017-09-09",2,"Buffalo","@","Army","L",9,16,56.3,193,1,0,178.2,"tyree-jackson-1"
"Michael Jacquet","2017-09-09",2,"Louisiana","@","Tulsa","L",0,1,0,0,0,1,-200,"michael-jacquet-1"
"Stephen Johnson","2017-09-09",2,"Kentucky",,"Eastern Kentucky","W",15,22,68.2,224,1,0,168.7,"stephen-johnson-8"
"Willie Jones III","2017-09-09",2,"Texas State","@","Colorado","L",2,2,100,32,0,0,234.4,"willie-jones-iii-1"
"Daniel Jones","2017-09-09",2,"Duke",,"Northwestern","W",29,45,64.4,305,2,1,131.6,"daniel-jones-4"
"Lamar Jordan","2017-09-09",2,"New Mexico",,"New Mexico State","L",10,19,52.6,103,0,2,77.1,"lamar-jordan-1"
"Robbie Kelley","2017-09-09",2,"Akron",,"Arkansas-Pine Bluff","W",1,2,50,25,0,0,155,"robbie-kelley-1"
"Hasaan Klugh","2017-09-09",2,"UNC Charlotte","@","Kansas State","L",8,19,42.1,33,0,1,46.2,"hasaan-klugh-1"
"Richard Lagow","2017-09-09",2,"Indiana","@","Virginia","W",3,10,30,24,0,1,30.2,"richard-lagow-1"
"Taylor Lamb","2017-09-09",2,"Appalachian State",,"Savannah State","W",12,15,80,327,5,0,373.1,"taylor-lamb-1"
"Blake LaRussa","2017-09-09",2,"Old Dominion","@","Massachusetts","W",10,22,45.5,129,1,0,109.7,"blake-larussa-1"
"Tanner Lee","2017-09-09",2,"Nebraska","@","Oregon","L",19,41,46.3,252,3,4,102.6,"tanner-lee-1"
"Brian Lewerke","2017-09-09",2,"Michigan State",,"Western Michigan","W",13,21,61.9,161,1,1,132.5,"brian-lewerke-1"
"Matt Linehan","2017-09-09",2,"Idaho",,"Nevada-Las Vegas","L",22,34,64.7,261,1,1,133,"matt-linehan-1"
"Chase Litton","2017-09-09",2,"Marshall","@","North Carolina State","L",26,43,60.5,350,2,1,139.5,"chase-litton-1"
"Drew Lock","2017-09-09",2,"Missouri",,"South Carolina","L",14,32,43.8,245,1,2,105.9,"drew-lock-1"
"Jake Luton","2017-09-09",3,"Oregon State",,"Minnesota","L",16,28,57.1,135,1,0,109.4,"jake-luton-1"
"Zack Mahoney","2017-09-09",2,"Syracuse",,"Middle Tennessee State","L",1,2,50,2,0,0,58.4,"zack-mahoney-1"
"Tanner Mangum","2017-09-09",3,"Brigham Young",,"Utah","L",21,39,53.8,170,1,3,83.5,"tanner-mangum-1"
"Logan Marchi","2017-09-09",2,"Temple",,"Villanova","W",20,34,58.8,274,0,0,126.5,"logan-marchi-1"
