"Player","Date","G","School","Loc","Opponent","WL","Tackle Solo","Tackle Assist","Tackle Tot","Tackle For Loss","Sack","unique_id"
"Collin Miller","2017-11-24",12,"Nebraska",,"Iowa","L",1,3,4,0,0,"collin-miller-1"
"Reid Miller","2017-11-24",12,"Arkansas",,"Missouri","L",0,1,1,0,0,"reid-miller-1"
"Jordan Mittie","2017-11-24",12,"Texas State","@","Troy","L",1,2,3,0,0,"jordan-mittie-1"
"Aaron Molina","2017-11-24",12,"New Mexico","@","San Diego State","L",2,0,2,0,0,"aaron-molina-1"
"Brandon Moore","2017-11-24",11,"Central Florida",,"South Florida","W",3,0,3,0,0,"brandon-moore-6"
"Chad Moore","2017-11-24",12,"Ohio","@","Buffalo","L",3,2,5,0,0,"chad-moore-1"
"Chris Moore","2017-11-24",12,"Virginia",,"Virginia Tech","L",2,4,6,0,0,"chris-moore-6"
"Kendall Moore","2017-11-24",12,"Texas",,"Texas Tech","L",1,0,1,0,0,"kendall-moore-3"
"Kevin Moore","2017-11-24",12,"Texas Tech","@","Texas","W",1,0,1,0,0,"kevin-moore-5"
"Grant Morgan","2017-11-24",12,"Arkansas",,"Missouri","L",4,4,8,0,0,"grant-morgan-1"
"Octavious Morgan","2017-11-24",12,"Texas Tech","@","Texas","W",5,1,6,1,0,"octavious-morgan-1"
"Shane Morris","2017-11-24",12,"Central Michigan",,"Northern Illinois","W",0,1,1,0,0,"shane-morris-1"
"Tyler Morris","2017-11-24",12,"San Diego State",,"New Mexico","W",0,3,3,0,0,"tyler-morris-1"
"Russell Morrison","2017-11-24",12,"Baylor","@","Texas Christian","L",0,1,1,0,0,"russell-morrison-1"
"Andrew Motuapuaka","2017-11-24",12,"Virginia Tech","@","Virginia","W",1,2,3,0,0,"andrew-motuapuaka-1"
"Brad Muhammad","2017-11-24",11,"Florida International",,"Western Kentucky","W",5,1,6,0,0,"brad-muhammad-1"
"Tyler Murray","2017-11-24",11,"Troy",,"Texas State","W",3,0,3,0,0,"tyler-murray-1"
"Alexander Myres","2017-11-24",11,"Houston",,"Navy","W",5,3,8,1,0,"alexander-myres-1"
"Brian Nance","2017-11-24",12,"Baylor","@","Texas Christian","L",3,2,5,2.5,0.5,"brian-nance-1"
"Elan Nash","2017-11-24",11,"Navy","@","Houston","L",2,2,4,0,0,"elan-nash-1"
"Tre Neal","2017-11-24",11,"Central Florida",,"South Florida","W",4,3,7,0,0,"tre-neal-1"
"Anthony Nelson","2017-11-24",12,"Iowa","@","Nebraska","W",1,1,2,0,0,"anthony-nelson-1"
"Brenton Nelson","2017-11-24",12,"Virginia",,"Virginia Tech","L",2,3,5,0,0,"brenton-nelson-1"
"Chris Nelson","2017-11-24",12,"Texas",,"Texas Tech","L",2,1,3,2,1,"chris-nelson-2"
"Kylan Nelson","2017-11-24",12,"Ohio","@","Buffalo","L",3,1,4,0,0,"kylan-nelson-1"
"Matt Nelson","2017-11-24",12,"Iowa","@","Nebraska","W",0,1,1,0,0,"matt-nelson-4"
"Marcus Newby","2017-11-24",12,"Nebraska",,"Iowa","L",0,2,2,0,0,"marcus-newby-1"
"Peyton Newell","2017-11-24",12,"Nebraska",,"Iowa","L",0,2,2,0,0,"peyton-newell-1"
"Josh Newman","2017-11-24",12,"Texas State","@","Troy","L",0,1,1,0,0,"josh-newman-2"
"Deon Newsome","2017-11-24",12,"Virginia Tech","@","Virginia","W",3,1,4,0,0,"deon-newsome-1"
"Myles Nicholas","2017-11-24",12,"Buffalo",,"Ohio","W",0,2,2,0,0,"myles-nicholas-1"
"Deatrick Nichols","2017-11-24",11,"South Florida","@","Central Florida","L",3,3,6,0,0,"deatrick-nichols-1"
"Ben Niemann","2017-11-24",12,"Iowa","@","Nebraska","W",2,2,4,0,0,"ben-niemann-1"
"Kevin Nixon","2017-11-24",11,"Troy",,"Texas State","W",2,1,3,0.5,0.5,"kevin-nixon-1"
"Chigozie Nnoruka","2017-11-24",12,"UCLA",,"California","W",3,0,3,1,0,"chigozie-nnoruka-1"
"Justin Norton","2017-11-24",11,"Navy","@","Houston","L",2,2,4,0,0,"justin-norton-1"
"Jordan Ober","2017-11-24",12,"Nebraska",,"Iowa","L",0,1,1,0,0,"jordan-ober-1"
"Austin Ocasio","2017-11-24",12,"New Mexico","@","San Diego State","L",4,2,6,2,1,"austin-ocasio-1"
"Kene Okonkwo","2017-11-24",12,"New Mexico","@","San Diego State","L",0,3,3,0,0,"kene-okonkwo-1"
"Albert Okwuegbunam","2017-11-24",12,"Missouri","@","Arkansas","W",1,0,1,0,0,"albert-okwuegbunam-1"
"Richard Olekanma","2017-11-24",12,"Toledo",,"Western Michigan","W",1,0,1,1,1,"richard-olekanma-1"
