coach_name,last_year_bonus,max_bonus,other_pay,school_pay,total_pay,year,school,conference
Kliff Kingsbury,50000.0,1500000.0,0.0,3306575.0,3306575,2016,Texas Tech,Big 12
Kliff Kingsbury,70000.0,1500000.0,39500.0,3108000.0,3147500,2015,Texas Tech,Big 12
Kliff Kingsbury,0.0,1500000.0,300.0,2605000.0,2605300,2014,Texas Tech,Big 12
Kliff Kingsbury,0.0,600000.0,300.0,1855000.0,1855300,2013,Texas Tech,Big 12
Pat Fitzgerald,0.0,0.0,0.0,3619775.0,3619775,2018,Northwestern,Big Ten
Pat Fitzgerald,0.0,0.0,0.0,3305818.0,3305818,2017,Northwestern,Big Ten
Pat Fitzgerald,0.0,0.0,0.0,3350638.0,3350638,2016,Northwestern,Big Ten
Pat Fitzgerald,0.0,0.0,0.0,2490858.0,2490858,2015,Northwestern,Big Ten
Pat Fitzgerald,0.0,0.0,0.0,2480967.0,2480967,2014,Northwestern,Big Ten
Pat Fitzgerald,0.0,0.0,0.0,2221153.0,2221153,2013,Northwestern,Big Ten
Pat Fitzgerald,0.0,0.0,0.0,1280751.0,1280751,2012,Northwestern,Big Ten
Pat Fitzgerald,0.0,0.0,0.0,1189961.0,1189961,2011,Northwestern,Big Ten
Pat Fitzgerald,0.0,0.0,0.0,0.0,0,2010,Northwestern,Big Ten
Pat Fitzgerald,0.0,0.0,0.0,0.0,0,2009,Northwestern,Big Ten
Pat Fitzgerald,0.0,0.0,0.0,0.0,0,2007,Northwestern,Big Ten
Pat Fitzgerald,0.0,0.0,0.0,0.0,0,2006,Northwestern,Big Ten
Dana Holgorsen,90000.0,1000000.0,12500.0,3605000.0,3617500,2018,West Virginia,Big 12
Dana Holgorsen,185000.0,750000.0,0.0,3505000.0,3505000,2017,West Virginia,Big 12
Dana Holgorsen,60000.0,600000.0,0.0,2980000.0,2980000,2016,West Virginia,Big 12
Dana Holgorsen,35000.0,600000.0,0.0,2880000.0,2880000,2015,West Virginia,Big 12
Dana Holgorsen,0.0,600000.0,0.0,3080000.0,3080000,2014,West Virginia,Big 12
Dana Holgorsen,0.0,600000.0,0.0,2630000.0,2630000,2013,West Virginia,Big 12
Dana Holgorsen,0.0,600000.0,0.0,2380000.0,2380000,2012,West Virginia,Big 12
Dana Holgorsen,0.0,600000.0,0.0,1490000.0,1490000,2011,West Virginia,Big 12
Bronco Mendenhall,75000.0,2165000.0,0.0,3550000.0,3550000,2018,Virginia,ACC
Bronco Mendenhall,0.0,2165000.0,0.0,3400000.0,3400000,2017,Virginia,ACC
Bronco Mendenhall,0.0,2445000.0,0.0,3275000.0,3275000,2016,Virginia,ACC
P.J. Fleck,0.0,900000.0,0.0,3550000.0,3550000,2018,Minnesota,Big Ten
P.J. Fleck,0.0,900000.0,0.0,3500000.0,3500000,2017,Minnesota,Big Ten
Bill Snyder,50000.0,580000.0,0.0,3500000.0,3500000,2018,Kansas State,Big 12
Bill Snyder,50000.0,580000.0,5000.0,3200000.0,3205000,2017,Kansas State,Big 12
Bill Snyder,50000.0,580000.0,6000.0,3100000.0,3106000,2016,Kansas State,Big 12
Bill Snyder,150000.0,580000.0,0.0,3000000.0,3000000,2015,Kansas State,Big 12
Bill Snyder,0.0,580000.0,0.0,2900000.0,2900000,2014,Kansas State,Big 12
Bill Snyder,0.0,580000.0,3000.0,2800000.0,2803000,2013,Kansas State,Big 12
Bill Snyder,0.0,455000.0,0.0,2200000.0,2200000,2012,Kansas State,Big 12
Bill Snyder,0.0,455000.0,0.0,1925000.0,1925000,2011,Kansas State,Big 12
Bill Snyder,0.0,455000.0,0.0,1875000.0,1875000,2010,Kansas State,Big 12
Bill Snyder,0.0,455000.0,308333.0,1541667.0,1850000,2009,Kansas State,Big 12
Chad Morris,0.0,1000000.0,0.0,3500000.0,3500000,2018,Arkansas,SEC
Ed Orgeron,100000.0,1575000.0,0.0,3500000.0,3500000,2018,LSU,SEC
Ed Orgeron,25000.0,1575000.0,0.0,3500000.0,3500000,2017,LSU,SEC
Matt Campbell,650000.0,750000.0,0.0,3500000.0,3500000,2018,Iowa State,Big 12
Matt Campbell,0.0,1000000.0,0.0,2100000.0,2100000,2017,Iowa State,Big 12
Matt Campbell,0.0,900000.0,0.0,2000000.0,2000000,2016,Iowa State,Big 12
Mike Leach,75000.0,725000.0,0.0,3500000.0,3500000,2018,Washington State,Pac-12
Mike Leach,75000.0,725000.0,0.0,3075000.0,3075000,2017,Washington State,Pac-12
Mike Leach,100000.0,725000.0,0.0,2950000.0,2950000,2016,Washington State,Pac-12
Mike Leach,0.0,625000.0,0.0,2750000.0,2750000,2015,Washington State,Pac-12
Mike Leach,0.0,625000.0,0.0,2750000.0,2750000,2014,Washington State,Pac-12
Mike Leach,0.0,625000.0,0.0,2250000.0,2250000,2013,Washington State,Pac-12
Mike Leach,0.0,640000.0,0.0,2250000.0,2250000,2012,Washington State,Pac-12
Chip Kelly,0.0,1085000.0,0.0,3300000.0,3300000,2018,UCLA,Pac-12
Paul Johnson,225000.0,1330000.0,0.0,3060018.0,3060018,2018,Georgia Tech,ACC
Paul Johnson,425000.0,1050000.0,0.0,2970891.0,2970891,2017,Georgia Tech,ACC
Paul Johnson,235000.0,1050000.0,2000.0,2884361.0,2886361,2016,Georgia Tech,ACC
Paul Johnson,450000.0,1050000.0,2000.0,2800000.0,2802000,2015,Georgia Tech,ACC
Paul Johnson,0.0,1275000.0,2500.0,2588000.0,2590500,2014,Georgia Tech,ACC
Paul Johnson,0.0,1025000.0,2500.0,2513000.0,2515500,2013,Georgia Tech,ACC
Paul Johnson,0.0,1025000.0,5000.0,2440700.0,2445700,2012,Georgia Tech,ACC
Paul Johnson,0.0,1125000.0,0.0,2369000.0,2369000,2011,Georgia Tech,ACC
Paul Johnson,0.0,1125000.0,0.0,2300000.0,2300000,2010,Georgia Tech,ACC
Paul Johnson,0.0,1025000.0,1975000.0,325000.0,2300000,2009,Georgia Tech,ACC
Pat Narduzzi,0.0,0.0,0.0,3017718.0,3017718,2018,Pittsburgh,ACC
Pat Narduzzi,0.0,0.0,0.0,1827735.0,1827735,2017,Pittsburgh,ACC
Pat Narduzzi,0.0,0.0,0.0,0.0,0,2016,Pittsburgh,ACC
Pat Narduzzi,0.0,0.0,0.0,0.0,0,2015,Pittsburgh,ACC
Dave Doeren,275000.0,1350000.0,0.0,3000000.0,3000000,2018,North Carolina State,ACC
Dave Doeren,150000.0,1750000.0,0.0,2212600.0,2212600,2017,North Carolina State,ACC
Dave Doeren,125000.0,1750000.0,0.0,2200000.0,2200000,2016,North Carolina State,ACC
Dave Doeren,100000.0,1750000.0,0.0,2200000.0,2200000,2015,North Carolina State,ACC
Dave Doeren,0.0,1000000.0,0.0,1800000.0,1800000,2014,North Carolina State,ACC
Dave Doeren,0.0,1000000.0,5000.0,2550000.0,2555000,2013,North Carolina State,ACC
Matt Luke,0.0,1550000.0,0.0,3000000.0,3000000,2018,Ole Miss,SEC
Matt Luke,0.0,0.0,0.0,1160000.0,1160000,2017,Ole Miss,SEC
Mike MacIntyre,297000.0,2150000.0,0.0,2878500.0,2878500,2018,Colorado,Pac-12
Mike MacIntyre,772500.0,2150000.0,0.0,2803500.0,2803500,2017,Colorado,Pac-12
Mike MacIntyre,300000.0,1500000.0,400.0,2011050.0,2011450,2016,Colorado,Pac-12
Mike MacIntyre,292000.0,1500000.0,575.0,2009778.0,2010353,2015,Colorado,Pac-12
Mike MacIntyre,0.0,1500000.0,1650.0,2008500.0,2010150,2014,Colorado,Pac-12
Mike MacIntyre,0.0,1500000.0,0.0,2403500.0,2403500,2013,Colorado,Pac-12
Derek Mason,0.0,0.0,0.0,2812523.0,2812523,2018,Vanderbilt,SEC
Derek Mason,0.0,0.0,0.0,2721834.0,2721834,2017,Vanderbilt,SEC
Derek Mason,0.0,0.0,0.0,2556877.0,2556877,2016,Vanderbilt,SEC
Derek Mason,0.0,0.0,0.0,0.0,0,2015,Vanderbilt,SEC
Derek Mason,0.0,0.0,0.0,0.0,0,2014,Vanderbilt,SEC
Clay Helton,0.0,0.0,0.0,2625965.0,2625965,2018,USC,Pac-12
Clay Helton,0.0,0.0,0.0,0.0,0,2017,USC,Pac-12
Clay Helton,0.0,0.0,0.0,0.0,0,2016,USC,Pac-12
Mike Norvell,185000.0,775000.0,0.0,2600000.0,2600000,2018,Memphis,AAC
Mike Norvell,125000.0,570000.0,0.0,1860000.0,1860000,2017,Memphis,AAC
Mike Norvell,0.0,570000.0,0.0,1800000.0,1800000,2016,Memphis,AAC
Joe Moorhead,0.0,1350000.0,0.0,2600000.0,2600000,2018,Mississippi State,SEC
Larry Fedora,50000.0,900000.0,0.0,2575000.0,2575000,2018,North Carolina,ACC
Larry Fedora,50000.0,900000.0,0.0,2290000.0,2290000,2017,North Carolina,ACC
Larry Fedora,58500.0,348444.0,0.0,1986265.0,1986265,2016,North Carolina,ACC
Larry Fedora,29250.0,346250.0,0.0,1931000.0,1931000,2015,North Carolina,ACC
Larry Fedora,0.0,345835.0,0.0,1830000.0,1830000,2014,North Carolina,ACC
Larry Fedora,0.0,345835.0,0.0,1730000.0,1730000,2013,North Carolina,ACC
Larry Fedora,0.0,29167.0,0.0,2448605.0,2448605,2012,North Carolina,ACC
David Cutcliffe,0.0,0.0,0.0,2540928.0,2540928,2018,Duke,ACC
David Cutcliffe,0.0,0.0,0.0,2613638.0,2613638,2017,Duke,ACC
David Cutcliffe,0.0,0.0,0.0,2320773.0,2320773,2016,Duke,ACC
David Cutcliffe,0.0,0.0,0.0,2049055.0,2049055,2015,Duke,ACC
David Cutcliffe,0.0,0.0,0.0,1840341.0,1840341,2014,Duke,ACC
David Cutcliffe,0.0,0.0,0.0,1792285.0,1792285,2013,Duke,ACC
David Cutcliffe,0.0,0.0,0.0,1788523.0,1788523,2012,Duke,ACC
David Cutcliffe,0.0,0.0,0.0,1762895.0,1762895,2011,Duke,ACC
David Cutcliffe,0.0,0.0,0.0,1581903.0,1581903,2010,Duke,ACC
David Cutcliffe,0.0,0.0,0.0,0.0,0,2009,Duke,ACC
Steve Addazio,0.0,0.0,0.0,2514859.0,2514859,2018,Boston College,ACC
Steve Addazio,0.0,0.0,0.0,2448949.0,2448949,2017,Boston College,ACC
Steve Addazio,0.0,0.0,0.0,2333628.0,2333628,2016,Boston College,ACC
Steve Addazio,0.0,0.0,0.0,2585655.0,2585655,2015,Boston College,ACC
Steve Addazio,0.0,0.0,0.0,0.0,0,2014,Boston College,ACC
Steve Addazio,0.0,0.0,0.0,0.0,0,2013,Boston College,ACC
DJ Durkin,0.0,625000.0,0.0,2512000.0,2512000,2018,Maryland,Big Ten
DJ Durkin,25000.0,625000.0,0.0,2462000.0,2462000,2017,Maryland,Big Ten
DJ Durkin,0.0,625000.0,0.0,2412000.0,2412000,2016,Maryland,Big Ten
Mario Cristobal,0.0,1825000.0,0.0,2500000.0,2500000,2018,Oregon,Pac-12
Dino Babers,0.0,0.0,0.0,2401206.0,2401206,2018,Syracuse,ACC
Dino Babers,0.0,0.0,0.0,0.0,0,2017,Syracuse,ACC
Dino Babers,0.0,0.0,0.0,0.0,0,2016,Syracuse,ACC
Barry Odom,375000.0,1025000.0,0.0,2350000.0,2350000,2018,Missouri,SEC
Barry Odom,162500.0,1025000.0,0.0,2350000.0,2350000,2017,Missouri,SEC
Barry Odom,0.0,1025000.0,0.0,2350000.0,2350000,2016,Missouri,SEC
