coach,last_year_bonus,max_bonus,other_pay,position,school_name,school_pay,total_pay,year
Kirk Ferentz,600000.0,2875000.0,0.0,coach,Iowa,4550000.0,4550000,2017
Kirk Ferentz,900000.0,2875000.0,0.0,coach,Iowa,4500000.0,4500000,2016
Kirk Ferentz,25000.0,2375000.0,0.0,coach,Iowa,4075000.0,4075000,2015
Kirk Ferentz,0.0,1750000.0,0.0,coach,Iowa,4075000.0,4075000,2014
Kirk Ferentz,0.0,1750000.0,0.0,coach,Iowa,3985000.0,3985000,2013
Kirk Ferentz,0.0,1750000.0,0.0,coach,Iowa,3835000.0,3835000,2012
Kirk Ferentz,0.0,1750000.0,0.0,coach,Iowa,3785000.0,3785000,2011
Kirk Ferentz,0.0,1750000.0,6000.0,coach,Iowa,3775000.0,3781000,2010
Kirk Ferentz,0.0,1000000.0,4500.0,coach,Iowa,3020000.0,3024500,2009
Kirk Ferentz,0.0,1000000.0,10000.0,coach,Iowa,3020000.0,3030000,2007
Kirk Ferentz,0.0,1000000.0,0.0,coach,Iowa,2840000.0,2840000,2006
Mark Dantonio,125000.0,650000.0,0.0,coach,Michigan State,4390417.0,4390417,2018
Mark Dantonio,0.0,650000.0,10000.0,coach,Michigan State,4380492.0,4390492,2017
Mark Dantonio,475000.0,650000.0,0.0,coach,Michigan State,4300000.0,4300000,2016
Mark Dantonio,250000.0,650000.0,0.0,coach,Michigan State,3671520.0,3671520,2015
Mark Dantonio,0.0,650000.0,24300.0,coach,Michigan State,5611845.0,5636145,2014
Mark Dantonio,0.0,650000.0,0.0,coach,Michigan State,1959744.0,1959744,2013
Mark Dantonio,0.0,650000.0,0.0,coach,Michigan State,1934250.0,1934250,2012
Mark Dantonio,0.0,650000.0,0.0,coach,Michigan State,1918000.0,1918000,2011
Mark Dantonio,0.0,660000.0,0.0,coach,Michigan State,1796700.0,1796700,2010
Mark Dantonio,0.0,725000.0,984000.0,coach,Michigan State,827260.0,1811260,2009
Mark Dantonio,0.0,650000.0,550000.0,coach,Michigan State,600000.0,1150000,2007
Mark Dantonio,0.0,701667.0,225000.0,coach,Cincinnati,270000.0,495000,2006
Chris Petersen,300000.0,1050000.0,2500.0,coach,Washington,4375000.0,4377500,2018
Chris Petersen,675000.0,1050000.0,2500.0,coach,Washington,4125000.0,4127500,2017
Chris Petersen,150000.0,1175000.0,5847.0,coach,Washington,3600000.0,3605847,2016
Chris Petersen,200000.0,1175000.0,2940.0,coach,Washington,3400000.0,3402940,2015
Chris Petersen,0.0,1175000.0,0.0,coach,Washington,3681720.0,3681720,2014
Chris Petersen,0.0,290000.0,3500.0,coach,Boise State,2148000.0,2151500,2013
Chris Petersen,0.0,290000.0,3500.0,coach,Boise State,1956333.0,1959833,2012
Chris Petersen,0.0,170000.0,0.0,coach,Boise State,1525000.0,1525000,2011
Chris Petersen,0.0,145000.0,5000.0,coach,Boise State,1489053.0,1494053,2010
Chris Petersen,0.0,227313.0,127900.0,coach,Boise State,995250.0,1123150,2009
Chris Petersen,0.0,215833.0,23500.0,coach,Boise State,857500.0,881000,2007
Chris Petersen,0.0,186667.0,9300.0,coach,Boise State,502500.0,511800,2006
David Shaw,0.0,0.0,0.0,coach,Stanford,4311543.0,4311543,2018
David Shaw,0.0,0.0,0.0,coach,Stanford,5680441.0,5680441,2017
David Shaw,0.0,0.0,0.0,coach,Stanford,4067219.0,4067219,2016
David Shaw,0.0,0.0,0.0,coach,Stanford,2224435.0,2224435,2015
David Shaw,0.0,0.0,0.0,coach,Stanford,2012666.0,2012666,2014
David Shaw,0.0,0.0,0.0,coach,Stanford,0.0,0,2013
David Shaw,0.0,0.0,0.0,coach,Stanford,0.0,0,2012
David Shaw,0.0,0.0,0.0,coach,Stanford,0.0,0,2011
David Shaw,0.0,0.0,0.0,assistant,Stanford,0.0,0,2010
David Shaw,0.0,0.0,0.0,assistant,Stanford,0.0,0,2009
Will Muschamp,100000.0,1400000.0,0.0,coach,South Carolina,4200000.0,4200000,2018
Will Muschamp,125000.0,1075000.0,0.0,coach,South Carolina,3100000.0,3100000,2017
Will Muschamp,0.0,1075000.0,2500.0,coach,South Carolina,3000000.0,3002500,2016
Will Muschamp,0.0,130000.0,0.0,assistant,Auburn,1600000.0,1600000,2015
Will Muschamp,0.0,454000.0,6500.0,coach,Florida,2724500.0,2731000,2014
Will Muschamp,0.0,454000.0,10000.0,coach,Florida,2724500.0,2734500,2013
Will Muschamp,0.0,450000.0,0.0,coach,Florida,2474500.0,2474500,2012
Will Muschamp,0.0,450000.0,0.0,coach,Florida,3221000.0,3221000,2011
