School,Conf,Coach,School Pay,Total Pay,Max Bonus,Asst Pay Total,School Buyout AS OF 12/1/17
North Carolina State,ACC,Dwayne Ledford,300000,300000,62500,2966365,
Utah,Pac-12,Sharrieff Shah,300000,300000,25000,2900000,
East Carolina,AAC,Tony Petersen,300000,300000,30000,1701500,
Nebraska,Big Ten,Trent Bray,300000,300000,120000,3758626,
Ole Miss,SEC,Grant Heard,300000,300000,36000,4261700,
North Carolina State,ACC,Ryan Nielsen,300000,300000,62500,2966365,
South Carolina,SEC,Bobby Bentley,300000,300000,115000,3952400,
Mississippi State,SEC,Brian Baker,300000,300000,25000,3295000,
Illinois,Big Ten,Bob Ligashesky,300000,300000,126000,3245000,
Connecticut,AAC,Frank Verducci,298793,298793,91890,1893802,
California,Pac-12,Brandon Jones,295000,298000,50000,2675600,
Washington,Pac-12,Bush Hamdan,295008,296508,96000,3553578,
Idaho,Sun Belt,Kenny Holmes,62504,295804,0,995385,
Michigan,Big Ten,Michael Zordich,295000,295000,49167,4308750,
North Carolina,ACC,Chad Scott,294350,294350,49058,2598400,
Arizona,Pac-12,Tony Dews,290000,293900,24167,2834900,
North Carolina State,ACC,Des Kitchings,291000,291000,62500,2966365,
Wisconsin,Big Ten,Chris Haering,289800,290635,113022,2862520,
Wisconsin,Big Ten,Ted Gilmore,289800,290500,113022,2862520,
Texas A&M,SEC,Clarence McKinney,290000,290000,67200,4811000,
Texas A&M,SEC,Jim Turner,290000,290000,69600,4811000,
North Carolina State,ACC,Eddie Faulkner,288915,288915,62500,2966365,
Florida,SEC,Kerry Dixon,286500,286500,110000,4530709,
Boise State,Mt. West,Scott Huff,285000,285000,21250,2052597,
Illinois,Big Ten,Paul Williams,285000,285000,119700,3245000,
Washington,Pac-12,Keith Bhonapha,280008,281508,96000,3553578,
Washington,Pac-12,Ikaika Malloe,280008,281508,96000,3553578,
LSU,SEC,Jabbar Juluke,280000,280000,75000,5781500,
Purdue,Big Ten,Randy Melvin,280000,280000,226875,2495000,
North Carolina,ACC,John Papuchis,279125,279125,46521,2598400,
North Carolina,ACC,Larry Porter,279125,279125,46521,2598400,
North Carolina,ACC,Gene Chizik,279125,279125,46521,2598400,
Boise State,Mt. West,Kent Riddle,279000,279000,20750,2052597,
Washington State,Pac-12,Clay McGuire,276500,278000,34563,2662000,
Memphis,AAC,Darrell Dickey,275000,275000,22917,2149500,
Purdue,Big Ten,Taver Johnson,275000,275000,226875,2495000,
Oklahoma State,Big 12,Dan Hammerschmidt,275000,275000,70833,3283999,
Kentucky,SEC,Lamar Thomas,275000,275000,45833,3403900,
Kentucky,SEC,Matt House,275000,275000,45833,3403900,
Georgia,SEC,Dell McGee,275000,275000,165000,4675000,
UCF,AAC,Greg Austin,275000,275000,0,2130000,
Alabama,SEC,Karl Dunbar,275000,275000,60500,5320000,
Washington State,Pac-12,Roy Manning,271500,271500,33938,2662000,
Minnesota,Big Ten,Dan O'Brien,270000,270000,77500,2932000,
