School,Conf,Coach,School Pay,Total Pay,Max Bonus,Bonuses Paid (2016-17),Asst Pay Total,School Buyout AS OF 12/1/17,Conference,Division,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
UNLV,Mt. West,Tony Sanchez,600000.0,600000.0,260000.0,30000.0,,1250000.0,Mountain West,West,4.0,4,220,237,5,7,346,381,2,4,3,3,L1,0,1,0,1,2017
San José State,Mt. West,Brent Brennan,581916.0,581916.0,210000.0,,,2036706.0,Mountain West,West,1.0,7,114,336,2,11,206,542,2,4,0,7,W1,0,1,0,1,2017
South Alabama,Sun Belt,Joey Jones,535260.0,565260.0,183869.0,42704.0,,164420.0,Sun Belt,,3.0,5,143,193,4,8,238,318,3,3,1,5,L2,0,1,0,1,2017
Georgia State,Sun Belt,Shawn Elliott,565000.0,565000.0,220000.0,,,1500000.0,Sun Belt,,5.0,3,179,207,6,5,217,280,1,4,5,1,L2,0,1,0,1,2017
Central Michigan,MAC,John Bonamego,545640.0,545640.0,330000.0,35500.0,,400000.0,Mid-American,West,6.0,2,256,198,8,4,356,321,3,2,5,2,W5,0,0,0,0,2017
Georgia Southern,Sun Belt,Tyson Summers,530000.0,530000.0,292500.0,0.0,,,Sun Belt,,2.0,6,194,216,2,10,250,386,1,3,1,6,L1,0,1,0,1,2017
Ohio,MAC,Frank Solich,522715.0,522715.0,331930.0,35386.0,,296167.0,Mid-American,East,5.0,3,287,185,8,4,467,309,5,1,3,3,L2,0,0,0,0,2017
Miami (OH),MAC,Chuck Martin,522300.0,522300.0,548162.0,51643.0,,609350.0,Mid-American,East,4.0,4,202,175,5,7,293,289,3,3,2,4,W1,0,1,0,1,2017
UTEP,C-USA,Sean Kugler,515332.0,515332.0,493776.0,24611.0,,,Conference USA,West,0.0,8,83,246,0,12,141,441,0,5,0,7,L12,0,1,0,1,2017
Southern Miss,C-USA,Jay Hopson,500000.0,500000.0,867500.0,15000.0,,1041667.0,Conference USA,West,6.0,2,266,211,8,4,366,276,3,3,5,1,W3,0,0,0,0,2017
UMass,Ind.,Mark Whipple,472654.0,472904.0,255000.0,0.0,,304903.0,FBS Independents,,,-,--,--,4,8,367,382,2,3,1,5,L1,0,1,0,1,2017
Nevada,Mt. West,Jay Norvell,450000.0,450000.0,210000.0,,,1000000.0,Mountain West,West,3.0,5,259,264,3,9,338,407,3,3,0,6,W1,0,3,0,3,2017
Idaho,Sun Belt,Paul Petrino,446214.0,446214.0,225000.0,70000.0,,1314160.0,Sun Belt,,3.0,5,158,154,4,8,251,309,2,4,2,4,W1,0,0,0,0,2017
Eastern Michigan,MAC,Chris Creighton,442420.0,442420.0,395000.0,35000.0,,950000.0,Mid-American,West,3.0,5,226,209,5,7,313,281,3,2,2,5,W2,0,0,0,0,2017
Ball State,MAC,Mike Neu,431375.0,436375.0,370000.0,0.0,,1401969.0,Mid-American,West,0.0,8,94,387,2,10,215,488,2,4,0,6,L9,0,0,0,0,2017
Bowling Green,MAC,Mike Jinks,428655.0,428655.0,245000.0,25000.0,,1285965.0,Mid-American,East,2.0,6,247,313,2,10,304,456,0,5,2,5,L3,0,2,0,2,2017
Kent State,MAC,Paul Haynes,414030.0,414030.0,173000.0,1000.0,,168600.0,Mid-American,East,1.0,7,109,271,2,10,153,421,2,3,0,7,L5,0,1,0,1,2017
Akron,MAC,Terry Bowden,411000.0,412500.0,225000.0,5000.0,,994500.0,Mid-American,East,6.0,2,196,179,7,6,307,342,5,1,2,4,L1,0,1,0,1,2017
