Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-09-05, Savannah State, 83, 49, 100, 23, 10, 8, 78, 1, 1, 11, 18, 3, 3, 2, 2205, 13, Colorado State, 217, 33, 381, 36, 27, 6, 62, 4, 1, 33, 9, 6, 1, 0, 1395, 65
2015-09-05, LA-Lafayette, 247, 47, 232, 41, 26, 7, 70, 2, 2, 27, 19, 7, 4, 3, 2225, 33, Kentucky, 178, 26, 257, 34, 16, 4, 54, 0, 1, 18, 14, 5, 1, 1, 1375, 40
2015-09-05, Wagner, 86, 37, 199, 22, 10, 4, 50, 1, 1, 13, 12, 2, 0, 0, 1746, 16, Rice, 401, 54, 142, 21, 12, 4, 49, 1, 1, 28, 15, 11, 0, 0, 1854, 56
2015-09-05, Portland State, 233, 48, 61, 12, 7, 5, 61, 0, 0, 19, 12, 6, 1, 1, 1788, 24, Washington St, 104, 30, 307, 45, 28, 5, 32, 1, 1, 21, 16, 4, 8, 7, 1812, 17
2015-09-05, Southern, 94, 32, 187, 36, 19, 9, 45, 1, 2, 17, 15, 4, 1, 0, 1676, 15, LA Tech, 207, 32, 380, 29, 21, 3, 35, 0, 2, 21, 10, 3, 1, 1, 1709, 62
2015-09-05, UTEP, 58, 34, 146, 19, 14, 2, 15, 2, 1, 13, 14, 7, 2, 0, 1841, 13, Arkansas, 182, 34, 308, 20, 14, 6, 68, 0, 0, 18, 11, 5, 2, 2, 1759, 48
2015-09-05, Weber State, 58, 18, 120, 36, 19, 7, 75, 0, 1, 9, 13, 0, 1, 0, 1475, 7, Oregon State, 281, 56, 110, 22, 12, 7, 67, 0, 1, 22, 17, 6, 1, 0, 2125, 26
2015-09-05, Wofford, 123, 45, 90, 18, 6, 4, 46, 0, 0, 9, 16, 4, 1, 0, 1877, 10, Clemson, 222, 43, 311, 37, 30, 6, 55, 2, 0, 27, 15, 9, 2, 2, 1723, 49
2015-09-05, Jackson State, 5, 20, 271, 40, 23, 7, 58, 0, 1, 9, 16, 4, 0, 0, 1477, 14, Mid Tennessee, 242, 62, 363, 33, 26, 1, 15, 1, 1, 36, 16, 12, 0, 0, 2123, 70
2015-09-05, Gardner-Webb, 177, 53, 132, 23, 11, 4, 39, 1, 2, 17, 16, 5, 4, 2, 2333, 23, South Alabama, 224, 31, 184, 25, 14, 7, 55, 1, 2, 13, 10, 3, 1, 1, 1267, 33
2015-09-05, UVA, 98, 34, 238, 35, 21, 7, 45, 0, 1, 19, 14, 4, 2, 1, 2054, 16, UCLA, 152, 34, 351, 37, 28, 7, 75, 0, 0, 25, 13, 7, 0, 0, 1546, 34
