School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Texas Tech,49,2019-08-31,1,,Montana State,136,W,45,10,35,40,55,72.7,436,2,0,40,255,6.4,4,7,1.0,1,1,6,12,24,50.0,162,1,36,127,3.5,0,0,0,0,1
Toledo,81,2019-08-31,1,@,Kentucky,112,L,24,38,-14,11,25,44.0,166,0,1,39,181,4.6,3,7,1.0,1,2,3,19,26,73.1,246,2,39,176,4.5,3,2,0,2,6
Troy,129,2019-08-31,1,,Campbell,144,W,43,14,29,18,29,62.1,282,2,0,37,245,6.6,3,8,5.0,1,1,5,9,19,47.4,93,2,39,50,1.3,0,0,0,0,2
UNLV,92,2019-08-31,1,,Southern Utah,141,W,56,23,33,18,28,64.3,203,1,0,45,331,7.4,7,9,4.0,1,1,8,25,42,59.5,295,2,38,46,1.2,1,1,0,1,3
USC,103,2019-08-31,1,,Fresno St.,86,W,31,23,8,31,42,73.8,272,1,2,36,175,4.9,2,4,3.0,2,4,4,19,39,48.7,256,2,40,206,5.2,0,2,1,3,2
UTEP,62,2019-08-31,1,,Houston Baptist,238,W,36,34,2,10,20,50.0,268,1,1,46,240,5.2,3,4,3.0,1,2,4,27,37,73.0,300,2,34,113,3.3,1,1,0,1,4
UTSA,63,2019-08-31,1,,Incarnate Word,239,W,35,7,28,28,37,75.7,206,3,2,47,284,6.0,2,7,4.0,0,2,5,15,33,45.5,181,1,20,28,1.4,0,0,1,1,1
Vanderbilt,120,2019-08-31,1,,Georgia,111,L,6,30,-24,16,32,50.0,109,0,0,30,116,3.9,0,2,,1,1,0,15,23,65.2,156,1,40,323,8.1,2,1,0,1,3
Virginia,24,2019-08-31,1,@,Pittsburgh,22,W,30,14,16,20,34,58.8,181,2,0,33,129,3.9,1,7,4.0,0,0,3,21,41,51.2,185,1,30,78,2.6,1,0,2,2,2
Virginia Tech,25,2019-08-31,1,@,Boston College,13,L,28,35,-7,29,47,61.7,344,4,3,42,98,2.3,0,6,1.0,2,5,4,15,27,55.6,275,2,48,157,3.3,3,0,1,1,5
Washington,105,2019-08-31,1,,Eastern Washington,132,W,47,14,33,28,38,73.7,370,4,0,43,200,4.7,2,9,4.0,0,0,6,21,35,60.0,211,1,30,63,2.1,1,0,0,0,2
Washington St.,106,2019-08-31,1,,New Mexico State,69,W,58,7,51,39,49,79.6,507,6,0,20,111,5.6,1,4,3.0,0,0,7,28,42,66.7,221,0,25,96,3.8,1,1,2,3,1
West Virginia,50,2019-08-31,1,,James Madison,155,W,20,13,7,27,42,64.3,260,2,0,24,34,1.4,0,6,4.0,0,0,2,13,20,65.0,156,0,48,172,3.6,1,2,1,3,1
Western Michigan,82,2019-08-31,1,,Monmouth,149,W,48,13,35,20,25,80.0,368,5,0,33,90,2.7,1,5,3.0,0,0,6,26,42,61.9,194,1,39,128,3.3,1,0,0,0,2
Wyoming,94,2019-08-31,1,,Missouri,115,W,37,31,6,6,16,37.5,92,0,0,42,297,7.1,3,5,2.0,0,0,4,31,48,64.6,423,2,42,114,2.7,2,2,1,3,4
Houston,5,2019-09-01,1,@,Oklahoma,45,L,31,49,-18,14,27,51.9,167,2,0,42,241,5.7,2,5,,0,0,4,20,24,83.3,332,3,37,354,9.6,4,2,0,2,7
Oklahoma,45,2019-09-01,1,,Houston,5,W,49,31,18,20,24,83.3,332,3,0,37,354,9.6,4,8,3.0,2,2,7,14,27,51.9,167,2,42,241,5.7,2,0,0,0,4
Louisville,18,2019-09-02,1,,Notre Dame,70,L,17,35,-18,12,28,42.9,134,0,0,46,258,5.6,2,5,2.0,3,3,2,14,23,60.9,193,1,42,230,5.5,4,1,0,1,5
