School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Navy,7,2002-08-31,1,@,SMU,8,W,38,7,31,4,9,44.4,106,0,0,54,293,5.4,5,0,0,5,12,31,38.7,144,1,45,182,4.0,0,3,2,5,1
Nebraska,34,2002-08-31,2,,Troy,129,W,31,16,15,8,16,50.0,114,0,1,54,199,3.7,2,1,2,4,11,29,37.9,192,0,41,155,3.8,2,1,2,3,2
Nevada,88,2002-08-31,1,@,Washington St.,106,L,7,31,-24,20,35,57.1,174,0,3,46,108,2.3,1,0,3,1,19,33,57.6,261,1,27,108,4.0,2,2,0,2,4
New Mexico,89,2002-08-31,2,,Weber State,143,W,38,24,14,12,16,75.0,93,0,0,34,256,7.5,3,0,0,5,33,52,63.5,345,3,35,62,1.8,0,2,0,2,3
New Mexico State,69,2002-08-31,1,@,South Carolina,117,L,24,34,-10,17,28,60.7,207,1,0,40,212,5.3,2,1,1,3,10,19,52.6,172,1,46,229,5.0,3,1,0,1,4
North Carolina,21,2002-08-31,1,,Miami (OH),78,L,21,27,-6,28,46,60.9,353,2,3,28,94,3.4,1,6,9,3,16,33,48.5,204,1,56,175,3.1,3,2,0,2,4
NC State,20,2002-08-31,2,,East Tennessee St.,229,W,34,0,34,14,21,66.7,189,0,1,38,181,4.8,4,2,3,5,1,14,7.1,11,0,49,70,1.4,0,1,2,3,0
North Texas,57,2002-08-31,1,@,Texas,48,L,0,27,-27,6,20,30.0,55,0,0,38,90,2.4,0,2,2,0,17,29,58.6,187,1,34,27,0.8,2,0,0,0,3
Northwestern,35,2002-08-31,1,@,Air Force,83,L,3,52,-49,19,36,52.8,180,0,0,27,41,1.5,0,1,1,0,5,8,62.5,47,1,74,476,6.4,5,0,0,0,7
Notre Dame,70,2002-08-31,1,N,Maryland,30,W,22,0,22,17,27,63.0,226,0,0,45,130,2.9,0,0,0,1,12,32,37.5,117,0,21,16,0.8,0,0,3,3,0
Ohio,80,2002-08-31,1,@,Pittsburgh,22,L,14,27,-13,9,23,39.1,79,0,5,48,204,4.3,2,1,6,2,9,23,39.1,97,2,44,96,2.2,1,0,3,3,3
