Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
Kevin Greene*,SLB,37.043,1999-09-12,NFL,CAR,@,NOR,L 10-19,1,1,Sun,1.5,3,2,5,1,,GreeKe00
Scott Greene,RB,27.103,1999-09-12,NFL,IND,,BUF,W 31-14,1,1,Sun,0.0,1,0,1,0,,GreeSc00
Robert Griffith,S,28.286,1999-09-12,NFL,MIN,@,ATL,W 17-14,1,1,Sun,0.0,3,0,3,0,,GrifRo00
Cory Hall,S,22.281,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,0.0,4,0,4,0,,HallCo21
John Hall,K,25.179,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,0.0,1,0,1,0,,hallxjoh01
Travis Hall,DT,27.040,1999-09-12,NFL,ATL,,MIN,L 14-17,1,1,Sun,0.0,1,0,1,0,,HallTr20
Darren Hambrick,SLB,24.013,1999-09-12,NFL,DAL,@,WAS,W 41-35,1,1,Sun,0.0,7,0,7,1,,HambDa20
Keith Hamilton,RDT,28.110,1999-09-12,NFL,NYG,@,TAM,W 17-13,1,1,Sun,0.0,2,3,5,1,,HamiKe20
Phil Hansen,LDE,31.115,1999-09-12,NFL,BUF,@,IND,L 14-31,1,1,Sun,0.0,2,1,3,0,,HansPh20
Kevin Hardy,WLB,26.050,1999-09-12,NFL,JAX,,SFO,W 41-3,1,1,Sun,1.0,4,5,9,1,,HardKe00
Al Harris,RCB,24.279,1999-09-12,NFL,PHI,,ARI,L 24-25,1,1,Sun,0.0,5,0,5,0,,HarrAl21
Bernardo Harris,MLB,27.332,1999-09-12,NFL,GNB,,OAK,W 28-24,1,1,Sun,0.0,7,2,9,0,,HarrBe20
Corey Harris,S,29.322,1999-09-12,NFL,BAL,@,STL,L 10-27,1,1,Sun,0.0,4,0,4,0,,HarrCo20
James Harris,LDE,31.122,1999-09-12,NFL,OAK,@,GNB,L 24-28,1,1,Sun,0.5,1,1,2,0,,HarrJa22
Sean Harris,MLB,27.199,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,0.0,7,0,7,0,,HarrSe20
Walt Harris,LCB,25.033,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,0.0,3,0,3,0,,HarrWa21
Martin Harrison,DE,31.357,1999-09-12,NFL,MIN,@,ATL,W 17-14,1,1,Sun,0.0,1,0,1,0,,HarrMa23
Nolan Harrison,DE,30.230,1999-09-12,NFL,PIT,@,CLE,W 43-0,1,1,Sun,0.0,1,0,1,0,,HarrNo20
Richard Harvey,ROLB,33.001,1999-09-12,NFL,OAK,@,GNB,L 24-28,1,1,Sun,1.0,9,1,10,0,,HarvRi21
James Hasty,RCB,34.112,1999-09-12,NFL,KAN,@,CHI,L 17-20,1,1,Sun,0.0,7,2,9,0,,HastJa00
Tim Hauck,SS,32.266,1999-09-12,NFL,PHI,,ARI,L 24-25,1,1,Sun,0.0,6,3,9,1,,HaucTi20
Artrell Hawkins,RCB,22.292,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,0.0,6,1,7,0,,HawkAr20
Chris Hayes,S,27.128,1999-09-12,NFL,NYJ,,NWE,L 28-30,1,1,Sun,0.0,0,2,2,0,,HayeCh20
Rodney Heath,CB,24.318,1999-09-12,NFL,CIN,@,TEN,L 35-36,1,1,Sun,0.0,1,0,1,0,,HeatRo20
Dale Hellestrae,C,37.063,1999-09-12,NFL,DAL,@,WAS,W 41-35,1,1,Sun,0.0,1,0,1,0,,HellDa20
Chad Hennings,DT,33.327,1999-09-12,NFL,DAL,@,WAS,W 41-35,1,1,Sun,0.0,3,1,4,1,,HennCh20
Kim Herring,SS,24.002,1999-09-12,NFL,BAL,@,STL,L 10-27,1,1,Sun,0.0,4,0,4,0,,HerrKi20
Chris Hewitt,S,25.052,1999-09-12,NFL,NOR,,CAR,W 19-10,1,1,Sun,0.0,1,0,1,0,,HewiCh20
Jimmy Hitchcock,CB,28.307,1999-09-12,NFL,MIN,@,ATL,W 17-14,1,1,Sun,0.0,6,0,6,0,,HitcJi20
Warrick Holdman,LB,23.294,1999-09-12,NFL,CHI,,KAN,W 20-17,1,1,Sun,0.0,3,0,3,0,,HoldWa20
John Holecek,LILB,27.128,1999-09-12,NFL,BUF,@,IND,L 14-31,1,1,Sun,0.0,7,2,9,1,,HoleJo20
Darius Holland,DT,25.306,1999-09-12,NFL,CLE,,PIT,L 0-43,1,1,Sun,0.0,5,0,5,1,,HollDa20
