Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Randall Cobb,WR,29.038,2019-09-29,NFL,DAL,@,NOR,L 10-12,4,4,Sun,1,14,14.00,0,CobbRa00
Tarik Cohen,RB,24.065,2019-09-29,NFL,CHI,,MIN,W 16-6,4,4,Sun,1,16,16.00,0,CoheTa00
Trevor Davis,WR,26.087,2019-09-29,NFL,OAK,@,IND,W 31-24,4,4,Sun,2,4,2.00,0,DaviTr03
Deonte Harris,WR/RS,21.299,2019-09-29,NFL,NOR,,DAL,W 12-10,4,4,Sun,1,23,23.00,0,HarrDe07
Adam Humphries,WR,26.097,2019-09-29,NFL,TEN,@,ATL,W 24-10,4,4,Sun,1,2,2.00,0,HumpAd00
Cyrus Jones,CB/RS,25.304,2019-09-29,NFL,BAL,,CLE,L 25-40,4,4,Sun,1,14,14.00,0,JoneCy00
T.J. Jones,WR,27.072,2019-09-29,NFL,NYG,,WAS,W 24-3,4,4,Sun,4,8,2.00,0,JoneT.00
Desmond King,DB,24.289,2019-09-29,NFL,LAC,@,MIA,W 30-10,4,4,Sun,1,1,1.00,0,KingDe01
Christian Kirk,WR,22.315,2019-09-29,NFL,ARI,,SEA,L 10-27,4,4,Sun,1,1,1.00,0,KirkCh01
Tyler Lockett,WR,27.001,2019-09-29,NFL,SEA,@,ARI,W 27-10,4,4,Sun,2,-3,-1.50,0,LockTy00
Ray-Ray McCloud,WR,22.349,2019-09-29,NFL,CAR,@,HOU,W 16-10,4,4,Sun,1,0,0.00,0,McClRa00
Trey Quinn,WR,23.296,2019-09-29,NFL,WAS,@,NYG,L 3-24,4,4,Sun,1,6,6.00,0,QuinTr00
Andre Roberts,WR,31.263,2019-09-29,NFL,BUF,,NWE,L 10-16,4,4,Sun,6,48,8.00,0,RobeAn00
Chester Rogers,WR,25.260,2019-09-29,NFL,IND,,OAK,L 24-31,4,4,Sun,3,35,11.67,0,RogeCh02
Mohamed Sanu,WR,30.038,2019-09-29,NFL,ATL,,TEN,L 10-24,4,4,Sun,1,2,2.00,0,SanuMo00
Marcus Sherels,DB,31.364,2019-09-29,NFL,MIN,@,CHI,L 6-16,4,4,Sun,4,12,3.00,0,SherMa20
Diontae Spencer,WR,27.194,2019-09-29,NFL,DEN,,JAX,L 24-26,4,4,Sun,1,10,10.00,0,SpenDi00
De'Anthony Thomas,WR,26.267,2019-09-29,NFL,KAN,@,DET,W 34-30,4,4,Sun,2,3,1.50,0,ThomDe05
Dede Westbrook,WR,25.312,2019-09-29,NFL,JAX,@,DEN,W 26-24,4,4,Sun,2,5,2.50,0,WestDe00
Tyler Lockett,WR,27.005,2019-10-03,NFL,SEA,,LAR,W 30-29,5,5,Thu,1,0,0.00,0,LockTy00
Jojo Natson,WR,25.244,2019-10-03,NFL,LAR,@,SEA,L 29-30,5,5,Thu,2,16,8.00,0,NatsJo00
Nelson Agholor,WR,26.135,2019-10-06,NFL,PHI,,NYJ,W 31-6,5,5,Sun,2,7,3.50,0,AghoNe00
