Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Int Ret,Int Ret Yds,Int Ret TD,Pass Broken Up,unique_id
Daryl Smith,LB,28.182,2010-09-12,NFL,JAX,,DEN,W 24-17,1,1,Sun,1,8,0,1,SmitDa24
Brandon Spikes,LB,23.009,2010-09-12,NFL,NWE,,CIN,W 38-24,1,1,Sun,0,0,0,1,SpikBr99
Randy Starks,NT,26.272,2010-09-12,NFL,MIA,@,BUF,W 15-10,1,1,Sun,0,0,0,1,StarRa20
Ike Taylor,LCB,30.130,2010-09-12,NFL,PIT,,ATL,W 15-9,1,1,Sun,0,0,0,1,TaylIk20
Terrell Thomas,RCB,25.247,2010-09-12,NFL,NYG,,CAR,W 31-18,1,1,Sun,1,0,0,4,ThomTe99
Charles Tillman,RCB,29.201,2010-09-12,NFL,CHI,,DET,W 19-14,1,1,Sun,1,7,0,1,TillCh20
Marcus Trufant,LCB,29.261,2010-09-12,NFL,SEA,,SFO,W 31-6,1,1,Sun,1,32,1,3,TrufMa20
Justin Tryon,DB,26.106,2010-09-12,NFL,IND,@,HOU,L 24-34,1,1,Sun,0,0,0,1,TryoJu99
Cameron Wake,WLB,28.225,2010-09-12,NFL,MIA,@,BUF,W 15-10,1,1,Sun,0,0,0,2,WakeCa00
Corey Webster,LCB,28.194,2010-09-12,NFL,NYG,,CAR,W 31-18,1,1,Sun,0,0,0,2,WebsCo20
Vince Wilfork,LDT,28.312,2010-09-12,NFL,NWE,,CIN,W 38-24,1,1,Sun,0,0,0,1,WilfVi20
Jonathan Wilhite,DB,26.201,2010-09-12,NFL,NWE,,CIN,W 38-24,1,1,Sun,0,0,0,1,WilhJo99
Tramon Williams,DB,27.180,2010-09-12,NFL,GNB,@,PHI,W 27-20,1,1,Sun,0,0,0,3,WillTr99
Adrian Wilson,SS,30.335,2010-09-12,NFL,ARI,@,STL,W 17-13,1,1,Sun,2,4,0,2,WilsAd99
Charles Woodson,CB,33.340,2010-09-12,NFL,GNB,@,PHI,W 27-20,1,1,Sun,0,0,0,1,WoodCh00
Eric Wright,LCB,25.050,2010-09-12,NFL,CLE,@,TAM,L 14-17,1,1,Sun,0,0,0,1,WrigEr99
Javier Arenas,CB,22.320,2010-09-13,NFL,KAN,,SDG,W 21-14,1,1,Mon,0,0,0,2,ArenJa99
Kevin Burnett,ILB,27.263,2010-09-13,NFL,SDG,@,KAN,L 14-21,1,1,Mon,0,0,0,1,BurnKe20
Brandon Carr,RCB,24.117,2010-09-13,NFL,KAN,,SDG,W 21-14,1,1,Mon,0,0,0,3,CarrBr99
Antoine Cason,RCB,24.066,2010-09-13,NFL,SDG,@,KAN,L 14-21,1,1,Mon,0,0,0,1,CasoAn99
Antonio Cromartie,CB,26.151,2010-09-13,NFL,NYJ,,BAL,L 9-10,1,1,Mon,1,66,0,1,CromAn20
Travis Daniels,CB,28.005,2010-09-13,NFL,KAN,,SDG,W 21-14,1,1,Mon,0,0,0,1,DaniTr20
Brandon Flowers,LCB,24.207,2010-09-13,NFL,KAN,,SDG,W 21-14,1,1,Mon,0,0,0,1,FlowBr99
David Harris,MIKE,26.235,2010-09-13,NFL,NYJ,,BAL,L 9-10,1,1,Mon,0,0,0,2,HarrDa99
Kendrick Lewis,S,22.089,2010-09-13,NFL,KAN,,SDG,W 21-14,1,1,Mon,,,,1,LewiKe00
Jon McGraw,FS,31.164,2010-09-13,NFL,KAN,,SDG,W 21-14,1,1,Mon,0,0,0,1,McGrJo21
Cory Redding,DE,29.302,2010-09-13,NFL,BAL,@,NYJ,W 10-9,1,1,Mon,0,0,0,1,ReddCo20
Jason Taylor*,LB,36.012,2010-09-13,NFL,NYJ,,BAL,L 9-10,1,1,Mon,0,0,0,1,TaylJa03
Bryan Thomas,OLB,31.098,2010-09-13,NFL,NYJ,,BAL,L 9-10,1,1,Mon,0,0,0,1,ThomBr21
Eric Weddle,FS,25.252,2010-09-13,NFL,SDG,@,KAN,L 14-21,1,1,Mon,0,0,0,1,WeddEr99
Kyle Wilson,CB,23.106,2010-09-13,NFL,NYJ,,BAL,L 9-10,1,1,Mon,0,0,0,2,WilsKy99
C.J. Ah You,DE,28.074,2010-09-19,NFL,STL,@,OAK,L 14-16,2,2,Sun,0,0,0,1,AhYoC.00
Jason Allen,RCB,27.076,2010-09-19,NFL,MIA,@,MIN,W 14-10,2,2,Sun,2,17,0,3,AlleJa23
Nate Allen,FS,22.293,2010-09-19,NFL,PHI,@,DET,W 35-32,2,2,Sun,1,0,0,2,AlleNa99
Antwan Applewhite,LB,24.262,2010-09-19,NFL,SDG,,JAX,W 38-13,2,2,Sun,0,0,0,1,ApplAn99
Javier Arenas,CB,22.326,2010-09-19,NFL,KAN,@,CLE,W 16-14,2,2,Sun,0,0,0,1,ArenJa99
Champ Bailey*,LCB,32.089,2010-09-19,NFL,DEN,,SEA,W 31-14,2,2,Sun,1,0,0,2,BailCh00
Ronde Barber,RCB,35.165,2010-09-19,NFL,TAM,@,CAR,W 20-7,2,2,Sun,1,5,0,2,BarbRo00
Ron Bartell,LCB,28.209,2010-09-19,NFL,STL,@,OAK,L 14-16,2,2,Sun,0,0,0,1,BartRo20
Marcus Benard,LB,25.055,2010-09-19,NFL,CLE,,KAN,L 14-16,2,2,Sun,0,0,0,1,BenaMa00
Antoine Bethea,FS,26.054,2010-09-19,NFL,IND,,NYG,W 38-14,2,2,Sun,0,0,0,1,BethAn20
Lance Briggs,WLB,29.311,2010-09-19,NFL,CHI,@,DAL,W 27-20,2,2,Sun,0,0,0,1,BrigLa99
C.C. Brown,SS,27.235,2010-09-19,NFL,DET,,PHI,L 32-35,2,2,Sun,0,0,0,1,BrowC.20
Sheldon Brown,RCB,31.184,2010-09-19,NFL,CLE,,KAN,L 14-16,2,2,Sun,1,0,0,1,BrowSh20
Phillip Buchanon,CB,30.000,2010-09-19,NFL,WAS,,HOU,L 27-30,2,2,Sun,0,0,0,1,BuchPh20
Kevin Burnett,ILB,27.269,2010-09-19,NFL,SDG,,JAX,W 38-13,2,2,Sun,1,2,0,1,BurnKe20
Morgan Burnett,SS,21.249,2010-09-19,NFL,GNB,,BUF,W 34-7,2,2,Sun,1,0,0,1,BurnMo99
James Butler,S,28.012,2010-09-19,NFL,STL,@,OAK,L 14-16,2,2,Sun,1,-3,0,1,ButlJa20
Chris Carr,LCB,27.142,2010-09-19,NFL,BAL,@,CIN,L 10-15,2,2,Sun,0,0,0,2,CarrCh22
Antoine Cason,RCB,24.072,2010-09-19,NFL,SDG,,JAX,W 38-13,2,2,Sun,2,23,0,4,CasoAn99
