Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Sack,Tackle Solo,Tackle Assist,Tackle Tot,Tackle for Loss,QBHits,unique_id
C.J. Mosley,LB,27.081,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,0.0,4,2,6,0,0,MoslC.00
Avery Moss,DE,24.357,2019-09-08,NFL,MIA,,BAL,L 10-59,1,1,Sun,0.0,1,4,5,0,0,MossAv00
Al-Quadin Muhammad,DE,24.164,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,1.0,2,0,2,1,2,MuhaAl00
Byron Murphy,CB,21.233,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,0.0,4,1,5,0,0,MurpBy00
Trent Murphy,DE,28.260,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,0.0,0,1,1,0,0,MurpTr00
Carl Nassib,DE,26.149,2019-09-08,NFL,TAM,,SFO,L 17-31,1,1,Sun,0.0,2,0,2,0,0,NassCa00
Keanu Neal,S,24.044,2019-09-08,NFL,ATL,@,MIN,L 12-28,1,1,Sun,0.0,1,0,1,0,1,NealKe01
Siran Neal,S,25.035,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,0.0,5,2,7,0,0,NealSi00
Steven Nelson,CB,26.229,2019-09-08,NFL,PIT,@,NWE,L 3-33,1,1,Sun,0.0,1,2,3,0,0,NelsSt01
Yannick Ngakoue,DE,24.161,2019-09-08,NFL,JAX,,KAN,L 26-40,1,1,Sun,0.0,3,0,3,1,1,NgakYa00
Montae Nicholson,S,23.278,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,0.0,4,1,5,0,0,NichMo00
Derrick Nnadi,DT,23.122,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,0.0,0,3,3,0,0,NnadDe00
Josh Norman,DB,31.267,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,0.0,4,0,4,1,0,NormJo01
Uchenna Nwosu,LB,22.254,2019-09-08,NFL,LAC,,IND,W 30-24,1,1,Sun,0.0,1,0,1,0,0,NwosUc00
Mark Nzeocha,LB,29.232,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,0.0,2,0,2,0,0,NzeoMa00
Efe Obada,DE,27.148,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,0.0,2,2,4,0,0,ObadEf00
Emmanuel Ogbah,DE,25.306,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,1.0,2,1,3,1,1,OgbaEm00
Alec Ogletree,LB,27.348,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,0.0,4,2,6,0,0,OgleAl00
Larry Ogunjobi,DT,25.097,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,1.0,3,0,3,1,1,OgunLa00
Alex Okafor,DE,28.212,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,0.0,2,2,4,0,0,OkafAl00
Bobby Okereke,LB,23.041,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,0.0,0,1,1,0,0,OkerBo00
Ed Oliver,DT,21.270,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,0.0,2,0,2,0,1,OlivEd00
Isaiah Oliver,CB,22.343,2019-09-08,NFL,ATL,@,MIN,L 12-28,1,1,Sun,0.0,1,0,1,0,0,OlivIs00
Foyesade Oluokun,MLB,24.037,2019-09-08,NFL,ATL,@,MIN,L 12-28,1,1,Sun,0.0,3,1,4,0,0,OluoFo00
Patrick Onwuasor,ILB,27.017,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,1.0,5,0,5,1,2,OnwuPa00
Da'Ron Payne,DL,22.104,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,0.0,2,1,3,1,1,PaynDa00
Jabrill Peppers,S,23.339,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,0.0,6,1,7,0,0,PeppJa00
Corey Peters,DL,31.092,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,0.0,1,1,2,0,0,PeteCo00
Marcus Peters,CB,26.242,2019-09-08,NFL,LAR,@,CAR,W 30-27,1,1,Sun,0.0,2,2,4,0,0,PeteMa00
Adrian Phillips,S,27.164,2019-09-08,NFL,LAC,,IND,W 30-24,1,1,Sun,0.0,3,3,6,1,0,PhilAd00
Jordan Phillips,DT,26.352,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,0.0,1,0,1,0,1,PhilJo01
Michael Pierce,DT,26.306,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,0.0,2,1,3,1,0,PierMi00
Dontari Poe,NT,29.021,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,0.0,2,1,3,1,0,PoexDo00
Brian Poole,CB,26.323,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,0.0,1,0,1,1,0,PoolBr01
Jordan Poyer,S,28.136,2019-09-08,NFL,BUF,@,NYJ,W 17-16,1,1,Sun,1.0,5,4,9,1,1,PoyeJo00
Germaine Pratt,LB,23.110,2019-09-08,NFL,CIN,@,SEA,L 20-21,1,1,Sun,0.0,0,1,1,0,0,PratGe00
Jalen Ramsey,CB,24.319,2019-09-08,NFL,JAX,,KAN,L 26-40,1,1,Sun,0.0,5,0,5,0,0,RamsJa00
Damarious Randall,S,27.010,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,0.0,4,0,4,0,0,RandDa00
Taylor Rapp,S,21.260,2019-09-08,NFL,LAR,@,CAR,W 30-27,1,1,Sun,0.0,3,4,7,0,0,RappTa00
Haason Reddick,LB,24.351,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,0.0,5,1,6,0,0,ReddHa00
Brooks Reed,LB,32.192,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,0.0,1,0,1,0,0,ReedBr00
Jalen Reeves-Maybin,LB,24.220,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,0.0,4,0,4,0,0,ReevJa00
Eric Reid,DB,27.272,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,0.0,4,1,5,0,0,ReidEr00
Xavier Rhodes,CB,29.081,2019-09-08,NFL,MIN,,ATL,W 28-12,1,1,Sun,0.0,5,2,7,1,0,RhodXa00
Sheldon Richardson,DT,28.283,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,0.0,4,0,4,0,0,RichSh00
Hassan Ridgeway,DT,24.310,2019-09-08,NFL,PHI,,WAS,W 32-27,1,1,Sun,0.0,1,0,1,0,1,RidgHa00
Darryl Roberts,CB,28.286,2019-09-08,NFL,NYJ,,BUF,L 16-17,1,1,Sun,0.0,6,2,8,0,0,RobeDa00
Nickell Robey-Coleman,CB,27.234,2019-09-08,NFL,LAR,@,CAR,W 30-27,1,1,Sun,0.0,2,0,2,0,0,RobeNi00
A'Shawn Robinson,DT,24.171,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,0.0,3,0,3,0,0,RobiAS00
Dominique Rodgers-Cromartie,CB,33.154,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,0.0,3,0,3,0,0,RodgDo99
Eric Rowe,CB,26.340,2019-09-08,NFL,MIA,,BAL,L 10-59,1,1,Sun,0.0,9,2,11,0,0,RoweEr00
Dontavius Russell,DT,23.355,2019-09-08,NFL,JAX,,KAN,L 26-40,1,1,Sun,0.0,1,0,1,0,0,RussDo00
Logan Ryan,CB,28.211,2019-09-08,NFL,TEN,@,CLE,W 43-13,1,1,Sun,1.5,7,1,8,1,2,RyanLo00
Joe Schobert,LB,25.306,2019-09-08,NFL,CLE,,TEN,L 13-43,1,1,Sun,0.0,7,2,9,0,0,SchoJo00
Andrew Sendejo,S,31.364,2019-09-08,NFL,PHI,,WAS,W 32-27,1,1,Sun,0.0,3,0,3,0,0,SendAn00
Tim Settle,DL,22.059,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,0.0,1,0,1,0,0,SettTi00
Danny Shelton,DL,26.019,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,0.0,1,0,1,0,0,ShelDa01
Richard Sherman,DB,31.162,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,0.0,4,1,5,0,0,SherRi00
Kawann Short,DT,30.218,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,0.0,3,0,3,1,2,ShorKa00
John Simon,DE,28.329,2019-09-08,NFL,NWE,,PIT,W 33-3,1,1,Sun,0.0,0,2,2,0,0,SimoJo01
Harrison Smith,S,30.218,2019-09-08,NFL,MIN,,ATL,W 28-12,1,1,Sun,0.0,8,1,9,0,0,SmitHa00
Jaylon Smith,LB,24.086,2019-09-08,NFL,DAL,,NYG,W 35-17,1,1,Sun,0.0,4,2,6,0,0,SmitJa05
Dawuane Smoot,DE,24.190,2019-09-08,NFL,JAX,,KAN,L 26-40,1,1,Sun,0.0,2,0,2,0,0,SmooDa00
Damion Square,NT,30.214,2019-09-08,NFL,LAC,,IND,W 30-24,1,1,Sun,0.0,0,1,1,0,0,SquaDa00
Shamar Stephen,DT,28.195,2019-09-08,NFL,MIN,,ATL,W 28-12,1,1,Sun,0.0,2,0,2,0,0,StepSh00
Darian Stewart,FS,31.035,2019-09-08,NFL,TAM,,SFO,L 17-31,1,1,Sun,0.0,3,2,5,0,0,StewDa00
Grover Stewart,DT,25.323,2019-09-08,NFL,IND,@,LAC,L 24-30,1,1,Sun,0.0,0,1,1,0,0,StewGr00
M.J. Stewart,DB,23.357,2019-09-08,NFL,TAM,,SFO,L 17-31,1,1,Sun,0.0,4,1,5,0,0,StewM.00
Terrell Suggs,LB,36.332,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,2.0,5,0,5,2,1,SuggTe99
Ndamukong Suh,DT,32.245,2019-09-08,NFL,TAM,,SFO,L 17-31,1,1,Sun,0.0,2,2,4,1,0,SuhxNd99
Cameron Sutton,CB,24.193,2019-09-08,NFL,PIT,@,NWE,L 3-33,1,1,Sun,0.0,1,0,1,0,0,SuttCa00
D.J. Swearinger,S,28.007,2019-09-08,NFL,ARI,,DET,T 27-27,1,1,Sun,0.0,3,1,4,0,0,SweaDJ00
Montez Sweat,LB,23.004,2019-09-08,NFL,WAS,@,PHI,L 27-32,1,1,Sun,0.0,3,2,5,1,0,SweaMo00
Aqib Talib,CB,33.207,2019-09-08,NFL,LAR,@,CAR,W 30-27,1,1,Sun,0.0,0,1,1,0,0,TaliAq99
Jaquiski Tartt,DB,27.208,2019-09-08,NFL,SFO,@,TAM,W 31-17,1,1,Sun,0.0,3,2,5,0,0,TartJa00
Jahlani Tavai,LB,22.345,2019-09-08,NFL,DET,@,ARI,T 27-27,1,1,Sun,1.0,3,0,3,1,1,TavaJa00
Earl Thomas,S,30.124,2019-09-08,NFL,BAL,@,MIA,W 59-10,1,1,Sun,0.0,1,0,1,0,0,ThomEa99
Michael Thomas,S,29.175,2019-09-08,NFL,NYG,@,DAL,L 17-35,1,1,Sun,0.0,1,0,1,0,0,ThomMi02
Shaq Thompson,LB,25.140,2019-09-08,NFL,CAR,,LAR,L 27-30,1,1,Sun,0.0,7,2,9,0,0,ThomSh01
Tedric Thompson,FS,24.231,2019-09-08,NFL,SEA,,CIN,W 21-20,1,1,Sun,0.0,1,2,3,0,0,ThomTe00
Juan Thornhill,S,23.324,2019-09-08,NFL,KAN,@,JAX,W 40-26,1,1,Sun,0.0,5,3,8,0,0,ThorJu00
Jerry Tillery,DT,22.335,2019-09-08,NFL,LAC,,IND,W 30-24,1,1,Sun,0.0,0,1,1,0,0,TillJe00
