Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Fmb,Fumble Forced,FR,FR Yds,FR TD,unique_id
Charles Tillman,LCB,26.226,2007-10-07,NFL,CHI,@,GNB,W 27-20,5,5,Sun,,2,0,,,TillCh20
Marcus Washington,SLB,29.355,2007-10-07,NFL,WAS,,DET,W 34-3,4,5,Sun,0,1,0,0,0,WashMa99
Will Witherspoon,MLB,27.049,2007-10-07,NFL,STL,,ARI,L 31-34,5,5,Sun,0,1,0,0,0,WithWi20
Aaron Schobel,RDE,30.037,2007-10-08,NFL,BUF,,DAL,L 24-25,5,5,Mon,,1,0,,,SchoAa99
DeMarcus Ware,WLB,25.069,2007-10-08,NFL,DAL,@,BUF,W 25-24,5,5,Mon,0,1,0,0,0,WareDe99
Jared Allen,DE,25.194,2007-10-14,NFL,KAN,,CIN,W 27-20,6,6,Sun,0,1,0,0,0,AlleJa22
Jordan Babineaux,SS,25.044,2007-10-14,NFL,SEA,,NOR,L 17-28,6,6,Sun,,1,0,,,BabiJo21
Justin Bannan,DT,28.179,2007-10-14,NFL,BAL,,STL,W 22-3,6,6,Sun,0,1,0,0,0,BannJu20
Fred Bennett,CB,23.287,2007-10-14,NFL,HOU,@,JAX,L 17-37,6,6,Sun,,1,0,,,BennFr99
Atari Bigby,SS,26.025,2007-10-14,NFL,GNB,,WAS,W 17-14,6,6,Sun,,1,0,,,BigbAt20
Derrick Brooks*,WLB,34.179,2007-10-14,NFL,TAM,,TEN,W 13-10,6,6,Sun,,1,0,,,BrooDe00
C.C. Brown,SS,24.260,2007-10-14,NFL,HOU,@,JAX,L 17-37,6,6,Sun,,1,0,,,BrowC.20
Phillip Daniels,LDE,34.224,2007-10-14,NFL,WAS,@,GNB,L 14-17,5,6,Sun,0,1,0,0,0,DaniPh20
Ray Edwards,RDE,22.286,2007-10-14,NFL,MIN,@,CHI,W 34-31,5,6,Sun,,1,0,,,EdwaRa21
Greg Ellis,LB,32.061,2007-10-14,NFL,DAL,,NWE,L 27-48,6,6,Sun,0,1,0,0,0,ElliGr20
Chris Harris,SS,25.069,2007-10-14,NFL,CAR,@,ARI,W 25-10,6,6,Sun,,1,1,,,HarrCh20
Rodney Harrison,SS,34.303,2007-10-14,NFL,NWE,@,DAL,W 48-27,6,6,Sun,0,1,0,0,0,HarrRo01
A.J. Hawk,WILL,23.281,2007-10-14,NFL,GNB,,WAS,W 17-14,6,6,Sun,,1,1,,,HawkA.20
E.J. Henderson,MLB,27.072,2007-10-14,NFL,MIN,@,CHI,W 34-31,5,6,Sun,,1,0,,,HendE.20
Renaldo Hill,S,28.336,2007-10-14,NFL,MIA,@,CLE,L 31-41,6,6,Sun,,1,0,,,HillRe20
Dhani Jones,LB,29.234,2007-10-14,NFL,CIN,@,KAN,L 20-27,5,6,Sun,,1,0,,,JoneDh20
Nate Jones,CB,25.121,2007-10-14,NFL,DAL,,NWE,L 27-48,6,6,Sun,0,1,0,0,0,JoneNa20
Sammy Knight,SS,32.034,2007-10-14,NFL,JAX,,HOU,W 37-17,5,6,Sun,,1,0,,,KnigSa00
Leonard Little,LDE,32.360,2007-10-14,NFL,STL,@,BAL,L 3-22,6,6,Sun,0,1,0,0,0,LittLe00
Rocky McIntosh,WLB,24.333,2007-10-14,NFL,WAS,@,GNB,L 14-17,5,6,Sun,,1,0,,,McInRo20
Terence Newman,RCB,29.040,2007-10-14,NFL,DAL,,NWE,L 27-48,6,6,Sun,,1,0,,,NewmTe20
Deltha O'Neal,LCB,30.257,2007-10-14,NFL,CIN,@,KAN,L 20-27,5,6,Sun,,1,0,,,ONeaDe00
Adewale Ogunleye,LDE,30.066,2007-10-14,NFL,CHI,,MIN,L 31-34,6,6,Sun,,1,0,,,OgunAd00
Julius Peppers,LDE,27.269,2007-10-14,NFL,CAR,@,ARI,W 25-10,6,6,Sun,0,2,1,0,0,PeppJu99
Julian Peterson,OLB,29.078,2007-10-14,NFL,SEA,,NOR,L 17-28,6,6,Sun,,1,0,,,PeteJu00
Shaun Phillips,OLB,26.154,2007-10-14,NFL,SDG,,OAK,W 28-14,6,6,Sun,0,1,0,0,0,PhilSh20
Clifton Ryan,DT,23.238,2007-10-14,NFL,STL,@,BAL,L 3-22,6,6,Sun,,1,0,,,RyanCl99
Paul Spicer,DE,32.057,2007-10-14,NFL,JAX,,HOU,W 37-17,5,6,Sun,0,1,0,0,0,SpicPa20
Jason Taylor*,RDE,33.043,2007-10-14,NFL,MIA,@,CLE,L 31-41,6,6,Sun,0,1,1,0,0,TaylJa03
Sean Taylor,FS,24.196,2007-10-14,NFL,WAS,@,GNB,L 14-17,5,6,Sun,0,1,0,0,0,TaylSe20
Corey Williams,DT,27.058,2007-10-14,NFL,GNB,,WAS,W 17-14,6,6,Sun,,1,0,,,WillCo21
John Abraham,RDE,29.162,2007-10-15,NFL,ATL,,NYG,L 10-31,6,6,Mon,0,1,0,0,0,AbraJo00
Brendon Ayanbadejo,LB,31.045,2007-10-21,NFL,CHI,@,PHI,W 19-16,7,7,Sun,,1,0,,,AyanBr99
Andre Carter,RDE,28.162,2007-10-21,NFL,WAS,,ARI,W 21-19,6,7,Sun,0,1,0,0,0,CartAn20
Angelo Crowell,SLB,26.066,2007-10-21,NFL,BUF,,BAL,W 19-14,6,7,Sun,,1,0,,,CrowAn20
Elvis Dumervil,RDE,23.275,2007-10-21,NFL,DEN,,PIT,W 31-28,6,7,Sun,0,1,0,0,0,DumeEl20
Ray Edwards,RDE,22.293,2007-10-21,NFL,MIN,@,DAL,L 14-24,6,7,Sun,0,1,0,0,0,EdwaRa21
Demarcus Faggins,RCB,28.130,2007-10-21,NFL,HOU,,TEN,L 36-38,7,7,Sun,,1,0,,,FaggDe20
Cortland Finnegan,RCB,23.261,2007-10-21,NFL,TEN,@,HOU,W 38-36,6,7,Sun,0,1,0,0,0,FinnCo20
Larry Foote,RILB,27.131,2007-10-21,NFL,PIT,@,DEN,L 28-31,6,7,Sun,0,1,0,0,0,FootLa20
Scott Fujita,SLB,28.176,2007-10-21,NFL,NOR,,ATL,W 22-16,6,7,Sun,0,1,0,0,0,FujiSc20
Randall Godfrey,LB,34.198,2007-10-21,NFL,WAS,,ARI,W 21-19,6,7,Sun,,1,0,,,GodfRa20
Jason Hatcher,DE,25.100,2007-10-21,NFL,DAL,,MIN,W 24-14,7,7,Sun,,1,0,,,HatcJa20
LeRoy Hill,OLB,25.037,2007-10-21,NFL,SEA,,STL,W 33-6,7,7,Sun,0,1,0,0,0,HillLe20
DeMeco Ryans,MLB,23.085,2007-10-21,NFL,HOU,,TEN,L 36-38,7,7,Sun,0,1,2,0,1,RyanDe20
Darryl Tapp,RDE,23.038,2007-10-21,NFL,SEA,,STL,W 33-6,7,7,Sun,0,1,0,0,0,TappDa20
