"Team","TeamCode","ConferenceCode","FBS","Power5","Conference","ConferenceAbbrev","Nickname","Name1","Name2","Name3","Name4","Name5","Name6","Name7","Name8","URL","logo","color_0_hex","color_1_hex","color_2_hex"
"Louisiana Tech",54,5,"True","False","Conference USA","C-USA","Bulldogs","LT","LA Tech","La Tech","La. Tech",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png","https://cdn.usteamcolors.com/images/ncaa/division-1/louisiana-tech-bulldogs-logo.png","#CB333B","#003087",
"Marshall",55,5,"True","False","Conference USA","C-USA","Thundering Herd","MRSH",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/276.png","https://cdn.usteamcolors.com/images/ncaa/division-1/marshall-thundering-herd-logo.png","#00B140",,
"Middle Tennessee",56,5,"True","False","Conference USA","C-USA","Blue Raiders","MTSU","Middle Tenn","Mid Tennessee","Middle Tenn. St.","Middle Tenn. St","Middle Tenn. State","Middle Tennessee St.","Middle Tennessee State","https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png","https://cdn.usteamcolors.com/images/ncaa/division-1/middle-tennessee-blue-raiders-logo.png","#0066CC",,
"North Texas",57,5,"True","False","Conference USA","C-USA","Mean Green","UNT","N Texas","N. Texas",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/249.png","https://cdn.usteamcolors.com/images/ncaa/division-1/north-texas-mean-green-logo.png","#00853E",,
"Old Dominion",58,5,"True","False","Conference USA","C-USA","Monarchs","ODU",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/295.png","https://cdn.usteamcolors.com/images/ncaa/division-1/old-dominion-monarchs-logo.png","#00325B","#A1D1F1","#969C9E"
"Rice",59,5,"True","False","Conference USA","C-USA","Owls","RICE",,,,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/242.png","https://cdn.usteamcolors.com/images/ncaa/division-1/rice-owls-logo.png","#00205B","#C1C6C8",
"Southern Miss",60,5,"True","False","Conference USA","C-USA","Golden Eagles","USM","Southern Mississippi","So. Miss",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png","https://cdn.usteamcolors.com/images/ncaa/division-1/southern-miss-golden-eagles-logo.png","#000000","#FFD046",
"UAB",61,5,"True","False","Conference USA","C-USA","Blazers","UAB","Alabama-Birmingham","Alabama Birmingham","Ala-Birmingham",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/5.png","https://cdn.usteamcolors.com/images/ncaa/division-1/uab-blazers-logo.png","#1E6B52","#CFC580",
"UTEP",62,5,"True","False","Conference USA","C-USA","Miners","UTEP","Texas El-Paso","Texas-El Paso",,,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png","https://cdn.usteamcolors.com/images/ncaa/division-1/utep-miners-logo.png","#041E42","#FF8200","#B1B3B3"
"UTSA",63,5,"True","False","Conference USA","C-USA","Roadrunners","UTSA","Texas San-Antonio","Texas-San Antonio","UT San Antonio",,,,,"https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png","https://cdn.usteamcolors.com/images/ncaa/division-1/utsa-roadrunners-logo.png","#002244","#DD4814",
